source,date,series,x_pixel,y_pixel,height,status,color_distance
260910,2026-02-26,boss,679.0384615384617,571.0,143.0,detected,
260910,2026-02-26,field,679.0384615384617,680.5,33.5,detected,
260910,2026-02-26,coin_dark,679.0384615384617,707.5,6.5,detected,
260910,2026-02-26,coin_light,679.0384615384617,706.0,8.0,detected,
260910,2026-02-26,other,679.0384615384617,,,below_resolution_at_axis,
260910,2026-03-05,boss,697.0769230769231,582.5,131.5,detected,
260910,2026-03-05,field,697.0769230769231,681.5,32.5,detected,
260910,2026-03-05,coin_dark,697.0769230769231,708.0,6.0,detected,
260910,2026-03-05,coin_light,697.0769230769231,706.0,8.0,detected,
260910,2026-03-05,other,697.0769230769231,,,below_resolution_at_axis,
260910,2026-03-12,boss,715.1153846153846,582.5,131.5,detected,
260910,2026-03-12,field,715.1153846153846,680.5,33.5,detected,
260910,2026-03-12,coin_dark,715.1153846153846,708.0,6.0,detected,
260910,2026-03-12,coin_light,715.1153846153846,710.0,4.0,detected,
260910,2026-03-12,other,715.1153846153846,,,below_resolution_at_axis,
260910,2026-03-19,boss,733.1538461538462,571.0,143.0,detected,
260910,2026-03-19,field,733.1538461538462,678.5,35.5,detected,
260910,2026-03-19,coin_dark,733.1538461538462,708.5,5.5,detected,
260910,2026-03-19,coin_light,733.1538461538462,,,unresolved_overlap_or_zero,
260910,2026-03-19,other,733.1538461538462,,,below_resolution_at_axis,
260910,2026-03-26,boss,751.1923076923077,568.5,145.5,detected,
260910,2026-03-26,field,751.1923076923077,678.5,35.5,detected,
260910,2026-03-26,coin_dark,751.1923076923077,708.5,5.5,detected,
260910,2026-03-26,coin_light,751.1923076923077,,,unresolved_overlap_or_zero,
260910,2026-03-26,other,751.1923076923077,,,below_resolution_at_axis,
260910,2026-04-02,boss,769.2307692307693,560.5,153.5,detected,
260910,2026-04-02,field,769.2307692307693,677.5,36.5,detected,
260910,2026-04-02,coin_dark,769.2307692307693,708.5,5.5,detected,
260910,2026-04-02,coin_light,769.2307692307693,707.0,7.0,detected,
260910,2026-04-02,other,769.2307692307693,,,below_resolution_at_axis,
260910,2026-04-09,boss,787.2692307692308,566.5,147.5,detected,
260910,2026-04-09,field,787.2692307692308,677.5,36.5,detected,
260910,2026-04-09,coin_dark,787.2692307692308,709.0,5.0,detected,
260910,2026-04-09,coin_light,787.2692307692308,707.0,7.0,detected,
260910,2026-04-09,other,787.2692307692308,,,below_resolution_at_axis,
260910,2026-04-16,boss,805.3076923076924,564.5,149.5,detected,
260910,2026-04-16,field,805.3076923076924,676.5,37.5,detected,
260910,2026-04-16,coin_dark,805.3076923076924,709.0,5.0,detected,
260910,2026-04-16,coin_light,805.3076923076924,709.0,5.0,detected,
260910,2026-04-16,other,805.3076923076924,,,below_resolution_at_axis,
260910,2026-04-23,boss,823.3461538461539,566.5,147.5,detected,
260910,2026-04-23,field,823.3461538461539,675.5,38.5,detected,
260910,2026-04-23,coin_dark,823.3461538461539,709.5,4.5,detected,
260910,2026-04-23,coin_light,823.3461538461539,711.0,3.0,detected,
260910,2026-04-23,other,823.3461538461539,,,below_resolution_at_axis,
260910,2026-04-30,boss,841.3846153846155,545.0,169.0,detected,
260910,2026-04-30,field,841.3846153846155,675.0,39.0,detected,
260910,2026-04-30,coin_dark,841.3846153846155,709.5,4.5,detected,
260910,2026-04-30,coin_light,841.3846153846155,,,unresolved_overlap_or_zero,
260910,2026-04-30,other,841.3846153846155,,,below_resolution_at_axis,
260910,2026-05-07,boss,859.423076923077,561.0,153.0,detected,
260910,2026-05-07,field,859.423076923077,675.5,38.5,detected,
260910,2026-05-07,coin_dark,859.423076923077,709.5,4.5,detected,
260910,2026-05-07,coin_light,859.423076923077,708.0,6.0,detected,
260910,2026-05-07,other,859.423076923077,,,below_resolution_at_axis,
260910,2026-05-14,boss,877.4615384615386,564.5,149.5,detected,
260910,2026-05-14,field,877.4615384615386,677.5,36.5,detected,
260910,2026-05-14,coin_dark,877.4615384615386,709.5,4.5,detected,
260910,2026-05-14,coin_light,877.4615384615386,708.0,6.0,detected,
260910,2026-05-14,other,877.4615384615386,,,below_resolution_at_axis,
260910,2026-05-21,boss,895.5000000000001,561.0,153.0,detected,
260910,2026-05-21,field,895.5000000000001,676.5,37.5,detected,
260910,2026-05-21,coin_dark,895.5000000000001,710.0,4.0,detected,
260910,2026-05-21,coin_light,895.5000000000001,708.0,6.0,detected,
260910,2026-05-21,other,895.5000000000001,,,below_resolution_at_axis,
260910,2026-05-28,boss,913.5384615384615,536.5,177.5,detected,
260910,2026-05-28,field,913.5384615384615,677.5,36.5,detected,
260910,2026-05-28,coin_dark,913.5384615384615,710.0,4.0,detected,
260910,2026-05-28,coin_light,913.5384615384615,708.0,6.0,detected,
260910,2026-05-28,other,913.5384615384615,,,below_resolution_at_axis,
260910,2026-06-04,boss,931.5769230769232,543.0,171.0,detected,
260910,2026-06-04,field,931.5769230769232,677.0,37.0,detected,
260910,2026-06-04,coin_dark,931.5769230769232,710.0,4.0,detected,
260910,2026-06-04,coin_light,931.5769230769232,,,unresolved_overlap_or_zero,
260910,2026-06-04,other,931.5769230769232,,,below_resolution_at_axis,
260910,2026-06-11,boss,949.6153846153846,547.0,167.0,detected,
260910,2026-06-11,field,949.6153846153846,674.0,40.0,detected,
260910,2026-06-11,coin_dark,949.6153846153846,710.0,4.0,detected,
260910,2026-06-11,coin_light,949.6153846153846,712.0,2.0,detected,
260910,2026-06-11,other,949.6153846153846,,,below_resolution_at_axis,
260910,2026-06-18,boss,967.6538461538462,494.0,220.0,detected,
260910,2026-06-18,field,967.6538461538462,665.0,49.0,detected,
260910,2026-06-18,coin_dark,967.6538461538462,702.0,12.0,detected,
260910,2026-06-18,coin_light,967.6538461538462,700.0,14.0,detected,
260910,2026-06-18,other,967.6538461538462,,,below_resolution_at_axis,
