source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
251016,2025-09-25,0.201693610469592,0.1969465648854962,0.20652173913043478,False,,401.0,131.0,54.0,62.0,1.5,628.1287404110743,126.6895534932267,123.70779772981464,129.72223986750447
251016,2025-10-02,,,,False,missing_coin_dark;other_axis_band,408.0,125.0,,52.0,1.5,618.8230520859698,,,
260910,2025-08-21,,,,False,missing_field;unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,136.5,,10.0,36.5,1.5,642.2141650989681,,,
260910,2025-08-28,0.1683991683991684,0.1515748031496063,0.18722466960352424,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,144.5,40.5,10.0,44.0,1.5,691.9601166145297,116.5255082032784,104.88371846322597,129.55200421197142
260910,2025-09-04,0.18550106609808104,0.16733870967741934,0.20588235294117646,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,141.5,43.5,10.0,38.0,1.5,669.1036040626165,124.11943188368366,111.96693374434912,137.7566243658328
260910,2025-09-11,0.19162995594713655,0.17255717255717257,0.21311475409836064,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,136.0,43.5,10.0,36.0,1.5,651.9471013943443,124.93259432006155,112.49814847345235,138.93954619879466
260910,2025-09-18,0.19383259911894274,0.17463617463617465,0.2154566744730679,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,136.0,44.0,10.0,35.5,1.5,656.3050864938896,127.21332073009314,114.61460969955661,141.40531137573265
260910,2025-09-25,0.19004524886877827,0.17057569296375266,0.21204819277108433,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,130.0,42.0,10.0,37.5,1.5,628.1287404110743,119.37288279305484,107.1434951660681,133.19356423174588
260910,2025-10-02,0.18160919540229886,0.16233766233766234,0.2034313725490196,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,132.0,39.5,10.0,34.5,1.5,618.8230520859698,112.38395658572786,100.4582876762938,125.8880228508223
260910,2025-10-09,0.19424460431654678,0.17342342342342343,0.21794871794871795,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,125.5,40.5,10.0,31.0,1.5,593.4354396926993,115.27163217052434,102.91560553229246,129.33849326635755
260910,2025-10-16,0.18159203980099503,0.16083916083916083,0.20533333333333334,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,122.0,36.5,10.0,31.0,1.5,570.5748891782056,103.61185798509703,91.77078637131977,117.15804391125822
260910,2025-10-23,0.18820224719101122,0.16449086161879894,0.21580547112462006,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,104.5,33.5,10.0,28.5,1.5,507.75224786541116,95.56011406455771,83.52060474026345,109.57571306517991
260910,2025-10-30,0.17679558011049723,0.15424164524421594,0.20298507462686566,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,106.5,32.0,10.0,31.0,1.5,505.83647757535863,89.42965349398605,78.02105052576225,102.67725514962503
