date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status,main_counterfactual,C_field_signed_excess,C_field_low,C_field_high,feasible,C_field_per_account,season,method,main_drift_assumed
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,99.14001955664928,27.327914398043077,24.164203208973134,30.553964723843436,True,4.4105878969982274e-05,2,flat_per_account,0.0
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,94.2145001589193,41.42016452959615,38.179039159515014,44.725049743023106,True,7.355111716564055e-05,2,flat_per_account,0.0
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,123.50000575964322,13.013670378997233,9.350512700858417,16.76404609709178,True,,2,flat_per_account,0.1
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,128.26620823050405,-3.588041594873843,-6.708718237873541,-0.40657254973778834,False,,2,flat_per_account,0.1
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,109.05402151231422,17.413912442378134,14.250201253308191,20.639962768178492,True,2.8105178587371382e-05,2,flat_per_account,0.1
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,103.63595017481123,31.998714513704215,28.75758914362308,35.30359972713117,True,5.682114562016418e-05,2,flat_per_account,0.1
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,70.37701845349734,19.555371210800047,8.118014090525534,32.88146620414743,True,,3,flat_total,-0.1
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,70.37701845349734,31.83455550098597,20.08180958136829,45.302567041304584,True,0.00010983303317630448,3,flat_total,-0.1
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,70.37701845349734,27.817334876949303,16.499791411424866,40.70192282231561,True,9.808167042864352e-05,3,flat_total,-0.1
2026-01-08,260910,0.183206106870229,0.1619047619047619,0.20765027322404372,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,108.5,36.0,10.0,40.5,1.5,563.0434258242125,103.15299404413054,91.15941180011059,116.91612120939932,296529.0,257052.0,valid,70.37701845349734,32.775975590633195,20.782393346613247,46.53910275590198,True,0.00012750717983378148,3,flat_total,-0.1
2025-12-18,260910,0.1864406779661017,0.16272965879265092,0.21406727828746178,True,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,97.5,33.0,10.0,35.0,1.5,482.36463547214055,89.93238966429739,78.49503254402288,103.25848465764477,320480.0,,missing_challenger_count,78.1966871705526,11.735702493744796,0.29834537347028345,25.06179748709218,True,,3,flat_total,0.0
2025-12-25,260910,0.18387909319899245,0.16273584905660377,0.20810810810810812,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,107.5,36.5,10.0,43.0,1.5,555.8629432867106,102.21157395448331,90.45882803486563,115.67958549480193,341835.0,289845.0,valid,78.1966871705526,24.01488678393072,12.26214086431304,37.482898324249334,True,8.285423858935196e-05,3,flat_total,0.0
2026-01-01,260910,0.16546762589928057,0.1463963963963964,0.18717948717948718,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,114.5,34.5,10.0,48.0,1.5,593.4354396926993,98.19435333044665,86.87680986492221,111.07894127581295,312624.0,283614.0,valid,78.1966871705526,19.997666159894052,8.680122694369615,32.88225410526036,True,7.051015168466314e-05,3,flat_total,0.0
