source,date,x_pixel,y_pixel,week_contains_day_1_or_2,date_itself_day_1_or_2,method
2504_source_boss,2024-11-21,1123.8857142857148,520.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-11-28,1131.599047619047,503.80190476190603,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-12-05,1139.1701996927802,494.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-12-12,1146.6347158218116,485.1856630824397,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-12-19,1154.0992319508462,449.67690732205233,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2024-12-26,1161.5637480798773,392.05376344085806,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-01-02,1169.0282642089087,354.99057859703044,True,True,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-01-09,1176.4927803379433,360.9903737839244,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-01-16,1183.9572964669746,360.04270353302536,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-01-23,1191.421812596006,359.42181259600596,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-01-30,1198.8863287250374,348.60624679980094,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-02-06,1206.922108843537,334.0477324263021,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-02-13,1215.1863945578243,350.0,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-02-20,1223.4506802721085,341.098639455783,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-02-27,1231.7149659863953,322.28503401360473,True,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-03-06,1239.4079877112138,355.2239631336414,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-03-13,1246.8725038402451,362.9575012800817,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-03-20,1254.3370199692797,357.21730670762713,False,False,printed six month ticks to Thursday; interpolate line color trace
2504_source_boss,2025-03-27,1261.801536098311,337.6615463389633,True,False,printed six month ticks to Thursday; interpolate line color trace
2510_boss_bars,2023-03-30,126.0,,True,False,weekly bar centers; total height separate column
2510_boss_bars,2023-04-06,135.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-04-13,142.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-04-20,149.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-04-27,157.0,,True,False,weekly bar centers; total height separate column
2510_boss_bars,2023-05-04,165.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-05-11,173.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-05-18,181.0,,False,False,weekly bar centers; total height separate column
2510_boss_bars,2023-05-25,188.0,,False,False,weekly bar centers; total height separate column
