date,season,share_before,share_after,change_percentage_points,M_mean_before,M_mean_after,C_mean_before,C_mean_after
2025-09-11,2,0.4218471376705236,0.42103075669539064,-0.08163809751329798,70.16611596713386,70.2651940585987,57.064259492345926,56.95382570804468
2025-09-18,2,0.4070714164723787,0.4069727696267624,-0.009864684561633474,70.35431431534333,70.36601931890618,59.32319948042442,59.30882351035184
2025-09-25,2,0.35440482582224364,0.3553166709759385,0.09118451536948569,75.37801248974368,75.271547822514,58.08544529551547,58.23489284231465
2025-10-02,2,0.32616995839412877,0.3292222497373992,0.30522913432704524,82.38070180174162,82.00753663035398,58.538712295824716,59.086516286316204
2025-10-09,2,0.31452308643233845,0.31885607365623864,0.43329872239001865,85.18400568693436,84.64554669434612,60.98077587719443,61.82086976593428
2025-10-16,2,0.27445290247764986,0.27755351694934943,0.310061447169957,90.50701290983122,90.12023256851799,55.824810000771414,56.455487294418774
2025-10-23,2,0.17048504021293467,0.16638484774398207,-0.41001924689526015,89.4417548683746,89.88385468272317,32.29481247031314,31.51811706811463
2025-10-30,2,0.11774704123417674,0.11068732821405403,-0.7059713020122718,86.7605674974274,87.45481816772455,23.55812810318312,22.145662686162623
2025-11-06,2,0.0981749147345159,0.09156234512598103,-0.661256960853486,89.54765826680048,90.2042602323537,21.67709893538647,20.217038328163504
2025-11-13,2,0.08748014565848936,0.08336335399229328,-0.4116791666196079,92.54862752625283,92.96615643447905,22.209520451552358,21.16434650931751
2025-11-20,0,,,,,,,
2025-11-27,0,0.0,0.0,0.0,88.59415869716365,88.59415869716365,,
2025-12-04,0,0.0,0.0,0.0,90.5933582293203,90.5933582293203,,
2025-12-11,0,0.0,0.0,0.0,98.61572377840695,98.61572377840695,,
2025-12-18,3,0.04950495049505004,0.04950495049505004,0.0,88.20920863811516,88.20920863811516,,
2025-12-25,3,0.09259259259259314,0.09259259259259314,0.0,84.42152110623633,84.42152110623633,10.159628128950866,10.159628128950866
2026-01-01,3,0.10000000000000019,0.10000000000000019,0.0,93.2516454554157,93.2516454554157,11.421118691388036,11.421118691388036
2026-01-08,3,0.09909909909909963,0.09909909909909963,0.0,99.30622013481799,99.30622013481799,12.60129917891842,12.60129917891842
2026-01-15,3,0.09103728440925432,0.09103728440925432,0.0,109.09622814784062,109.09622814784062,13.265297178555716,13.265297178555716
2026-01-22,3,0.07944599716963407,0.07944599716963407,0.0,117.68419638618276,117.68419638618276,12.803513366637668,12.803513366637668
2026-01-29,3,0.06647201549772117,0.06647201549772117,0.0,123.91008049884857,123.91008049884857,12.130406997546885,12.130406997546885
2026-02-05,3,0.05632669251491439,0.05632669251491439,0.0,130.347187503912,130.347187503912,11.188930980300087,11.188930980300087
2026-02-12,3,0.052641267744405335,0.052641267744405335,0.0,134.3313072588957,134.3313072588957,11.37815939662428,11.37815939662428
2026-02-19,3,0.044585261071892125,0.044585261071892125,0.0,139.1151087470841,139.1151087470841,10.685026796282044,10.685026796282044
2026-02-26,3,0.039143719887928856,0.039143719887928856,0.0,142.71480410853732,142.71480410853732,9.838125238709308,9.838125238709308
2026-03-05,3,0.030092804820214623,0.030092804820214623,0.0,146.03397613937585,146.03397613937585,8.043397453856514,8.043397453856514
2026-03-12,3,0.040077307276074836,0.040077307276074836,0.0,150.44077045880033,150.44077045880033,11.598482584929753,11.598482584929753
2026-03-19,3,0.0705914577080336,0.0705914577080336,0.0,140.19218292497294,140.19218292497294,21.540348525928724,21.540348525928724
2026-03-26,3,0.0770172675358483,0.0770172675358483,0.0,118.64747804407457,118.64747804407457,20.97392110283583,20.97392110283583
2026-04-02,3,0.06731833928746224,0.06731833928746224,0.0,123.54158803417131,123.54158803417131,21.845581993843126,21.845581993843126
2026-04-09,3,0.07307882482625053,0.07307882482625053,0.0,127.84926498838009,127.84926498838009,26.440229479386478,26.440229479386478
2026-04-16,0,,,,,,,
2026-04-23,0,0.0,0.0,0.0,129.80997113653277,129.80997113653277,,
2026-04-30,0,0.0,0.0,0.0,134.51694007568383,134.51694007568383,,
2026-05-07,0,0.0,0.0,0.0,139.66682966050814,139.66682966050814,,
2026-05-14,0,0.0,0.0,0.0,140.43554934320665,140.43554934320665,,
2026-05-21,0,0.0,0.0,0.0,143.4440754736995,143.4440754736995,,
2026-05-28,0,0.0,0.0,0.0,145.7701208859464,145.7701208859464,,
2026-06-04,0,0.0,0.0,0.0,146.95258865317876,146.95258865317876,,
2026-06-11,0,0.0,0.0,0.0,150.58149388481533,150.58149388481533,,
2026-06-18,4,0.15942028985507015,0.15942028985507015,0.0,130.1241686537895,130.1241686537895,,
2026-06-25,4,0.24704588511008568,0.24704588511008568,0.0,118.43037606979483,118.43037606979483,35.575040638265314,35.575040638265314
2026-07-02,4,0.2842396524281711,0.2842396524281711,0.0,131.02328671382526,131.02328671382526,45.66385424596871,45.66385424596871
2026-07-09,4,0.31220744317912347,0.31220744317912347,0.0,139.21047555802346,139.21047555802346,54.540469061851766,54.540469061851766
2026-07-16,4,0.33097092276583734,0.33097092276583734,0.0,143.95551484820953,143.95551484820953,62.795282860189324,62.795282860189324
2026-07-23,4,0.34293643871586393,0.34293643871586393,0.0,152.7912308470224,152.7912308470224,70.0858382564606,70.0858382564606
2026-07-30,4,0.3493210814706441,0.3493210814706441,0.0,162.05766270838376,162.05766270838376,77.39636935368802,77.39636935368802
2026-08-06,4,0.3560983819550948,0.3560983819550948,0.0,168.32588057490474,168.32588057490474,84.07134861318268,84.07134861318268
2026-08-13,4,0.36003382682819146,0.36003382682819146,0.0,174.85203152574687,174.85203152574687,90.79823966958065,90.79823966958065
2026-08-20,4,0.36499526538990573,0.36499526538990573,0.0,180.48973555806572,180.48973555806572,100.49028899225279,100.49028899225279
