model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks,exploratory_BH_q
tier4_difference_upper_control_HAC4,dlog1p_C_100k,-0.20113921924541356,0.1808181185297394,-0.561769585321767,0.15949114683093985,0.26977868630543367,76,70,4,0.28634265955018373
tier4_difference_upper_control_HAC4,reward_pulse,0.395640597820498,0.17593222673370892,0.04475483566624611,0.7465263599747498,0.027672973902006452,76,70,4,
tier4_difference_upper_control_HAC4,growth_pulse,-0.003156217957435639,0.019153192259619565,-0.04135605540890952,0.03504361949403824,0.8695857233029121,76,70,4,
tier4_difference_upper_control_HAC4,dlog1p_upper5plus_pixels,-0.010653221766168763,0.02485923417523377,-0.06023340097546557,0.03892695744312804,0.6695725242525894,76,70,4,
tier4_difference_upper_control_HAC8,intercept,0.028576937831486297,0.012490743658404883,0.003664935125543004,0.053488940537429586,0.025170931989692776,76,70,8,
tier4_difference_upper_control_HAC8,dlog_A,0.32554632364087427,0.2330789018259827,-0.13931488813173853,0.7904075354134871,0.16691006325237037,76,70,8,
tier4_difference_upper_control_HAC8,dlog1p_C_100k,-0.20113921924541356,0.1847526498694468,-0.5696167606431062,0.16733832215227912,0.280022627705945,76,70,8,0.28634265955018373
tier4_difference_upper_control_HAC8,reward_pulse,0.395640597820498,0.17727794344612838,0.042070888313066046,0.7492103073279299,0.028834650463678033,76,70,8,
tier4_difference_upper_control_HAC8,growth_pulse,-0.003156217957435639,0.01598386356994944,-0.03503502865083028,0.028722592735959,0.844037683588808,76,70,8,
tier4_difference_upper_control_HAC8,dlog1p_upper5plus_pixels,-0.010653221766168763,0.020094086810891306,-0.05072961422896231,0.029423170696624777,0.5976739302534492,76,70,8,
low2_level_trend_HAC4,intercept,-6.0899039533739385,2.269803985123763,-10.606957837586311,-1.572850069161567,0.008862952502500932,84,80,4,
low2_level_trend_HAC4,log_A,0.8853376233611018,0.1799389113077889,0.5272477779071231,1.2434274688150806,4.543958969545583e-06,84,80,4,
low2_level_trend_HAC4,log1p_C_100k,0.30461924578552635,0.0302851561134729,0.24434986439712347,0.3648886271739292,7.439349068978671e-16,84,80,4,
low2_level_trend_HAC4,linear_time_years,-0.06652700770548793,0.03389616851489302,-0.13398253278765315,0.0009285173766773042,0.05316068814098718,84,80,4,
opening_local_FE_HAC2,intercept,5.031231439508252,0.027584381544270623,4.973691427891469,5.0887714511250355,1.0804040931812363e-33,26,20,2,
opening_local_FE_HAC2,season2,0.07726884186999017,0.02832563116084142,0.018182610647740023,0.13635507309224032,0.012961398437225904,26,20,2,
opening_local_FE_HAC2,season3,-0.1952893375829583,0.05156702854592797,-0.3028562742138794,-0.08772240095203718,0.001156829563429662,26,20,2,
