date,season,scenario,C_boss,M_boss,B_total,C_share,C_accounts,C_mean_per_100k,estimated_transfer_count,transferred_production_in_main,stage,cap_tier,season_boss_tier,assumption_only_share_lower,assumption_only_share_upper,C_tier1,M_tier1,C_tier2,M_tier2,C_tier3,M_tier3,C_tier4,M_tier4,C_tier5,M_tier5,C_tier6,M_tier6,C_tier7,M_tier7,A_accounts,M_mean_per_100k,scenario_share_min,scenario_share_max
2025-09-04,2,primary,184.9909760212611,236.1036143288505,421.0945903501116,0.43930978991550007,332895.0,55.570367840088046,11737.5,35.91762187157326,post_leap,3,3,0.0,0.8881118881118882,19.29917757390835,51.374040386949545,134.39545327205954,101.18193993080016,31.296345175293233,36.432155370528925,0.0,32.39189156539321,0.0,2.944717415035746,0.0,11.778869660142984,0.0,0.0,350337.0,67.39328541628504,0.39425010563744833,0.44845668383101595
2025-09-11,2,primary,176.39532701495494,241.75454592012102,418.14987293507596,0.4218471376705236,309117.0,57.064259492345926,11889.0,41.023442588221855,post_leap,3,3,0.0,0.880281690140845,17.20613558087706,50.5223649649451,129.3072894211834,103.32538636664052,29.881902012894475,37.846598532927686,0.0,32.39189156539321,0.0,5.889434830071492,0.0,11.778869660142984,0.0,0.0,344546.0,70.16611596713386,0.36565773044864036,0.42598193418664404
2025-09-18,2,primary,171.415571362676,249.67901898743563,421.0945903501116,0.4070714164723787,288952.0,59.32319948042442,10082.5,45.421128545933364,post_leap,3,3,0.0,0.8671328671328673,15.08268912526093,49.70109400552549,122.20663522574107,104.53660573201138,34.12624701167397,39.491688364219684,0.0,38.281326395464696,0.0,5.889434830071492,0.0,11.778869660142984,0.0,0.0,354888.0,70.35431431534333,0.3107234875986606,0.41601041898773067
2025-09-25,2,primary,139.84535638457714,254.74677723021284,394.59213361479,0.35440482582224364,240758.0,58.08544529551547,24097.0,56.630112006241994,post_leap,3,3,0.0,0.8656716417910447,9.624130890827416,49.27021740988751,101.90202582166413,110.1176280609096,28.319199672085592,42.35401828877231,0.0,35.33660898042895,0.0,5.889434830071492,0.0,11.778869660142984,0.0,0.0,337959.0,75.37801248974368,0.2575956948117501,0.36575974140528694
2025-10-02,2,primary,126.78314309029717,261.91955569442126,388.70269878471845,0.32616995839412877,216580.0,58.538712295824716,12089.0,61.96452103163068,post_leap,3,3,0.0,0.856060606060606,7.541466426467794,48.408164459211385,92.84331613999682,113.2869029125054,26.398360523832565,44.27485743702533,0.0,35.33660898042895,0.0,5.889434830071492,0.0,14.723587075178731,0.0,0.0,317938.0,82.38070180174162,0.23565958496269263,0.3432659949728165
2025-10-09,2,primary,121.32979091630114,264.4281904533816,385.75798136968274,0.31452308643233845,198964.0,60.98077587719443,8808.0,65.77957024968552,post_leap,3,3,0.0,0.8549618320610687,8.443770704372787,47.50586018130639,85.22963540688308,115.01114881554766,27.656384805045263,45.96155057084839,0.0,38.281326395464696,0.0,5.889434830071492,0.0,11.778869660142984,0.0,0.0,310420.0,85.18400568693436,0.22649229665744347,0.3331434533833613
2025-10-16,2,primary,103.44783891622949,273.475990208346,376.9238291245755,0.27445290247764986,185308.0,55.824810000771414,6828.0,68.78168629995297,post_leap,3,3,0.0,0.8437500000000001,6.584120020933149,46.42079344971028,70.78117610808181,120.62545586924168,26.08254278721453,47.53539258867912,0.0,38.281326395464696,0.0,5.889434830071492,0.0,14.723587075178731,0.0,0.0,302160.0,90.50701290983122,0.17792780363195157,0.29396259743556696
2025-10-23,2,primary,54.7212990940727,266.2528991448236,320.9741982388963,0.17048504021293467,169443.0,32.29481247031314,7932.5,71.98042031110215,post_leap,3,3,0.0,0.7706422018348624,0.41161756412012795,43.75914366141606,37.254297002038115,101.14742150464194,17.05538452791445,47.72839860287197,0.0,47.115478640571936,0.0,8.834152245107237,0.0,17.668304490214474,0.0,0.0,297683.0,89.4417548683746,0.07462063799276471,0.19797393656393403
2025-10-30,2,primary,35.36663981490366,264.99453651874245,300.3611763336461,0.11774704123417674,150125.0,23.55812810318312,9659.0,74.11600295875267,post_leap,3,3,0.0,0.7549019607843137,2.4608426340478597e-14,41.22604381050042,19.796104942709608,100.93730907375598,15.570534872194022,49.213248258592394,0.0,47.115478640571936,0.0,8.834152245107237,0.0,17.668304490214474,0.0,0.0,305432.0,86.7605674974274,0.0731442738068696,0.15276136912936855
2025-11-06,2,primary,29.198835494976223,268.21762342363417,297.4164589186104,0.0981749147345159,134699.0,21.67709893538647,7713.0,75.19905368043773,post_leap,3,3,0.0,0.7425742574257423,0.3733578670010131,40.85268594349943,14.4539918947822,100.38998729161189,14.37148573319301,50.412297397593406,0.0,50.06019605560768,0.0,8.834152245107237,0.0,17.668304490214474,0.0,0.0,299525.0,89.54765826680048,0.06877020290884889,0.14229162690908023
