date,a_px,b_px,factor_b_per_a,relative_difference,snapshot_a,snapshot_b,measure
2023-03-30,26,18,0.684931506849315,0.010769230769230864,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-04-06,26,19,0.684931506849315,0.06692307692307708,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-05-04,27,22,0.684931506849315,0.1896296296296296,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-05-11,27,22,0.684931506849315,0.1896296296296296,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-05-25,30,22,0.684931506849315,0.07066666666666666,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-06-08,35,23,0.684931506849315,-0.04057142857142848,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-06-15,31,24,0.684931506849315,0.13032258064516133,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-06-22,112,26,0.684931506849315,-0.6610714285714285,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-07-06,37,28,0.684931506849315,0.1048648648648649,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-07-13,61,31,0.684931506849315,-0.2580327868852459,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-08-03,68,38,0.684931506849315,-0.1841176470588235,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-08-10,69,41,0.684931506849315,-0.13246376811594207,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-08-17,66,42,0.684931506849315,-0.07090909090909081,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-09-07,70,44,0.684931506849315,-0.08228571428571418,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-09-14,68,45,0.684931506849315,-0.0338235294117647,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-09-21,75,48,0.684931506849315,-0.06559999999999999,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-10-05,66,49,0.684931506849315,0.08393939393939398,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-10-12,69,49,0.684931506849315,0.03681159420289859,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-10-19,75,50,0.684931506849315,-0.026666666666666616,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-11-16,71,51,0.684931506849315,0.04873239436619725,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-11-23,76,51,0.684931506849315,-0.02026315789473676,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-12-07,74,50,0.684931506849315,-0.013513513513513375,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-12-14,76,50,0.684931506849315,-0.03947368421052633,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2023-12-21,80,55,0.684931506849315,0.00374999999999992,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-01-04,83,57,0.684931506849315,0.0026506024096386582,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-01-18,83,61,0.684931506849315,0.07301204819277118,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-01-25,88,62,0.684931506849315,0.02863636363636357,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-02-01,83,63,0.684931506849315,0.10819277108433734,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-02-15,99,63,0.684931506849315,-0.07090909090909081,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-02-22,106,64,0.684931506849315,-0.11849056603773578,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-03-07,99,66,0.684931506849315,-0.026666666666666505,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-03-14,94,66,0.684931506849315,0.025106382978723252,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-03-21,100,64,0.684931506849315,-0.06559999999999999,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-03-28,111,64,0.684931506849315,-0.15819819819819814,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-04-04,104,65,0.684931506849315,-0.08749999999999991,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-04-11,97,66,0.684931506849315,-0.006597938144329962,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-04-18,104,67,0.684931506849315,-0.0594230769230768,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-04-25,104,69,0.684931506849315,-0.0313461538461538,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-05-02,102,71,0.684931506849315,0.016274509803921644,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-05-09,99,71,0.684931506849315,0.04707070707070726,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-05-23,113,72,0.684931506849315,-0.06973451327433611,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-05-30,110,73,0.684931506849315,-0.031090909090908947,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-06-06,107,75,0.684931506849315,0.02336448598130847,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-06-13,101,75,0.684931506849315,0.08415841584158423,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-06-20,111,73,0.684931506849315,-0.03981981981981986,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-06-27,108,76,0.684931506849315,0.027407407407407325,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-07-04,108,76,0.684931506849315,0.027407407407407325,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-07-11,111,77,0.684931506849315,0.012792792792792884,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-07-25,123,84,0.684931506849315,-0.0029268292682925745,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-01,119,86,0.684931506849315,0.05512605042016805,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-08,117,86,0.684931506849315,0.07316239316239326,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-15,93,86,0.684931506849315,0.35010752688172064,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-22,129,87,0.684931506849315,-0.015348837209302246,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-29,125,88,0.684931506849315,0.027840000000000087,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-09-05,128,91,0.684931506849315,0.03796875000000011,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-09-12,131,97,0.684931506849315,0.08106870229007646,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-09-19,141,98,0.684931506849315,0.014751773049645367,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-09-26,140,100,0.684931506849315,0.04285714285714293,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-10-03,132,103,0.684931506849315,0.1392424242424244,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-10-10,142,104,0.684931506849315,0.0692957746478875,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-10-24,148,100,0.684931506849315,-0.013513513513513375,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-10-31,131,99,0.684931506849315,0.10335877862595422,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-11-07,131,98,0.684931506849315,0.09221374045801545,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-11-14,130,99,0.684931506849315,0.11184615384615393,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-11-21,149,98,0.684931506849315,-0.03973154362416109,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-11-28,146,100,0.684931506849315,0.0,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-12-05,156,103,0.684931506849315,-0.036025641025640986,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-12-12,158,107,0.684931506849315,-0.011265822784810031,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-12-26,189,122,0.684931506849315,-0.05756613756613749,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-01-02,191,127,0.684931506849315,-0.029214659685863897,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-01-09,207,132,0.684931506849315,-0.06898550724637686,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-01-16,209,139,0.684931506849315,-0.028995215311004796,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-01-30,215,146,0.684931506849315,-0.008558139534883713,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-02-06,218,149,0.684931506849315,-0.002110091743119158,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-02-13,230,152,0.684931506849315,-0.03513043478260858,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-02-27,212,152,0.684931506849315,0.046792452830188624,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-03-06,213,150,0.684931506849315,0.028169014084507005,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-03-13,219,152,0.684931506849315,0.01333333333333342,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2025-03-20,230,157,0.684931506849315,-0.003391304347825974,250410,251016,hard_suu_to_blackmage_vs_hard_damien_to_jinhilla_proxy
2024-08-29,88,26,0.30560796645702304,-0.033223679082022395,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-09-26,100,31,0.30560796645702304,0.014371462870862661,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-10-31,99,30,0.30560796645702304,-0.00843454264822796,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-11-14,99,30,0.30560796645702304,-0.00843454264822796,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-11-21,98,30,0.30560796645702304,0.001683472222708371,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-11-28,100,30,0.30560796645702304,-0.0183501972217458,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-12-05,103,31,0.30560796645702304,-0.015173337018579813,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-12-12,107,33,0.30560796645702304,0.009172694444934404,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2024-12-26,122,37,0.30560796645702304,-0.00762178407662828,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-01-16,139,43,0.30560796645702304,0.012252794231772945,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-01-30,146,45,0.30560796645702304,0.00854431792286392,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-02-13,152,47,0.30560796645702304,0.011788173916183142,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-02-27,152,46,0.30560796645702304,-0.009739234039480404,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-03-13,152,47,0.30560796645702304,0.011788173916183142,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-04-03,157,49,0.30560796645702304,0.021249264036824922,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
2025-04-10,159,48,0.30560796645702304,-0.01217629909106488,251016,260910,hard_damien_to_jinhilla_vs_hard_suu_to_jinhilla_proxy
