series,week_start,week_end,x_start,x_end,observed_columns,max_abs_chord_residual_px,rms_chord_residual_px,verdict
field,2024-07-25,2024-08-01,996,1003,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2024-08-01,2024-08-08,1003,1011,9,1.875,1.1873172373979173,STRAIGHT_WITHIN_3PX
field,2024-08-08,2024-08-15,1011,1019,9,3.875,2.1392496088322392,REVIEW_3_TO_5PX
field,2024-08-15,2024-08-22,1019,1026,8,2.7142857142856656,1.3562026818605286,STRAIGHT_WITHIN_3PX
field,2024-08-22,2024-08-29,1026,1034,9,0.5,0.27638539919628335,STRAIGHT_WITHIN_3PX
field,2024-08-29,2024-09-05,1034,1041,8,1.0,0.7071067811865476,STRAIGHT_WITHIN_3PX
field,2024-09-05,2024-09-12,1041,1049,9,1.0,0.4714045207910317,STRAIGHT_WITHIN_3PX
field,2024-09-12,2024-09-19,1049,1057,9,1.75,0.8122328620674136,STRAIGHT_WITHIN_3PX
field,2024-09-19,2024-09-26,1057,1064,8,1.4285714285714448,0.7196229171289188,STRAIGHT_WITHIN_3PX
field,2024-09-26,2024-10-03,1064,1072,9,1.875,0.8122328620674136,STRAIGHT_WITHIN_3PX
field,2024-10-03,2024-10-10,1072,1079,8,3.571428571428555,1.9039432764659758,REVIEW_3_TO_5PX
field,2024-10-10,2024-10-17,1079,1087,9,4.75,2.362907813126304,REVIEW_3_TO_5PX
field,2024-10-17,2024-10-24,1087,1095,9,1.5,0.8122328620674136,STRAIGHT_WITHIN_3PX
field,2024-10-24,2024-10-31,1095,1102,8,2.1428571428571104,1.0856202966836244,STRAIGHT_WITHIN_3PX
field,2024-10-31,2024-11-07,1102,1110,9,1.0,0.3333333333333333,STRAIGHT_WITHIN_3PX
field,2024-11-07,2024-11-14,1110,1117,8,0.7142857142856656,0.44320263021393624,STRAIGHT_WITHIN_3PX
field,2024-11-14,2024-11-21,1117,1125,9,5.5,2.7688746209726918,INTERIOR_KINK_GT5PX
field,2024-11-21,2024-11-28,1125,1133,9,1.875,0.9537935951882998,STRAIGHT_WITHIN_3PX
field,2024-11-28,2024-12-05,1133,1140,8,4.0,1.8708286933869707,REVIEW_3_TO_5PX
field,2024-12-05,2024-12-12,1140,1148,9,4.125,2.1457321982639557,REVIEW_3_TO_5PX
field,2024-12-12,2024-12-19,1148,1155,8,3.0,1.541103500742244,STRAIGHT_WITHIN_3PX
field,2024-12-19,2024-12-26,1155,1163,9,2.0,1.4907119849998598,STRAIGHT_WITHIN_3PX
field,2024-12-26,2025-01-02,1163,1171,9,4.0,2.211083193570267,REVIEW_3_TO_5PX
field,2025-01-02,2025-01-09,1171,1178,8,1.5714285714285552,0.668153104781067,STRAIGHT_WITHIN_3PX
field,2025-01-09,2025-01-16,1178,1186,9,2.125,0.8122328620674136,STRAIGHT_WITHIN_3PX
field,2025-01-16,2025-01-23,1186,1193,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
field,2025-01-23,2025-01-30,1193,1201,9,1.875,1.1395661942647786,STRAIGHT_WITHIN_3PX
field,2025-01-30,2025-02-06,1201,1209,9,1.5,0.8779711460710616,STRAIGHT_WITHIN_3PX
