x_pixel,y_pixel,rgb_distance,series
842,574,9.9498743710662,boss
843,578,27.65863337187866,boss
844,579,27.65863337187866,boss
845,584,24.61706725018234,boss
846,584,19.209372712298546,boss
847,584,16.431676725154983,boss
848,584,10.723805294763608,boss
849,584,10.723805294763608,boss
850,584,10.723805294763608,boss
851,585,11.40175425099138,boss
852,586,10.954451150103322,boss
853,586,10.954451150103322,boss
854,586,10.954451150103322,boss
855,591,15.0,boss
856,591,15.0,boss
857,591,15.0,boss
858,598,9.16515138991168,boss
859,598,9.16515138991168,boss
860,598,9.16515138991168,boss
861,598,15.427248620541512,boss
862,596,14.317821063276353,boss
863,596,14.317821063276353,boss
864,596,14.317821063276353,boss
865,595,19.849433241279208,boss
866,590,20.445048300260872,boss
867,590,14.89966442575134,boss
868,590,14.89966442575134,boss
869,591,4.123105625617661,boss
870,591,4.123105625617661,boss
871,591,4.123105625617661,boss
872,591,9.055385138137417,boss
873,593,12.529964086141668,boss
874,593,12.529964086141668,boss
875,593,12.529964086141668,boss
876,593,15.0996688705415,boss
877,594,23.45207879911715,boss
878,597,22.693611435820433,boss
879,598,21.77154105707724,boss
880,599,13.74772708486752,boss
881,599,13.74772708486752,boss
882,601,11.445523142259598,boss
883,601,11.445523142259598,boss
884,599,6.4031242374328485,boss
885,599,6.4031242374328485,boss
886,599,6.4031242374328485,boss
887,598,10.63014581273465,boss
888,596,17.204650534085253,boss
889,596,17.204650534085253,boss
890,596,17.204650534085253,boss
891,595,18.894443627691185,boss
892,594,20.024984394500787,boss
893,592,25.37715508089904,boss
894,588,25.787593916455254,boss
895,588,25.787593916455254,boss
896,580,19.6468827043885,boss
897,580,19.6468827043885,boss
898,577,12.328828005937952,boss
899,577,12.328828005937952,boss
900,577,12.328828005937952,boss
901,576,14.177446878757825,boss
902,575,11.180339887498949,boss
903,575,11.180339887498949,boss
904,575,11.180339887498949,boss
905,575,7.0710678118654755,boss
906,575,7.0710678118654755,boss
907,575,7.0710678118654755,boss
908,576,14.142135623730951,boss
909,579,24.020824298928627,boss
910,579,24.020824298928627,boss
911,584,8.774964387392123,boss
912,584,8.774964387392123,boss
913,584,8.774964387392123,boss
914,585,9.899494936611665,boss
915,587,9.643650760992955,boss
916,587,9.643650760992955,boss
917,587,9.643650760992955,boss
918,589,4.123105625617661,boss
919,589,4.123105625617661,boss
920,589,4.123105625617661,boss
921,589,5.830951894845301,boss
922,589,5.830951894845301,boss
923,589,10.770329614269007,boss
924,588,16.30950643030009,boss
925,588,17.233687939614086,boss
926,587,17.72004514666935,boss
927,586,22.9128784747792,boss
928,583,23.958297101421877,boss
929,583,23.958297101421877,boss
930,575,12.806248474865697,boss
931,575,8.306623862918075,boss
932,575,8.306623862918075,boss
933,575,8.306623862918075,boss
934,567,22.44994432064365,boss
935,562,19.8997487421324,boss
936,563,18.841443681416774,boss
937,563,18.49324200890693,boss
938,564,5.196152422706632,boss
939,564,5.196152422706632,boss
940,564,5.196152422706632,boss
941,567,8.366600265340756,boss
942,567,8.366600265340756,boss
943,569,6.928203230275509,boss
944,569,6.928203230275509,boss
945,569,6.928203230275509,boss
946,569,11.489125293076057,boss
947,569,9.539392014169456,boss
948,569,8.06225774829855,boss
949,569,5.196152422706632,boss
950,569,5.196152422706632,boss
951,569,5.196152422706632,boss
952,569,6.48074069840786,boss
953,569,6.48074069840786,boss
954,567,19.026297590440446,boss
955,566,19.621416870348583,boss
956,565,19.748417658131498,boss
957,561,12.649110640673518,boss
958,561,12.649110640673518,boss
959,561,12.649110640673518,boss
960,556,18.81488772222678,boss
961,545,14.035668847618199,boss
962,545,14.035668847618199,boss
963,545,14.035668847618199,boss
964,538,19.748417658131498,boss
965,529,17.74823934929885,boss
966,527,16.673332000533065,boss
967,526,11.789826122551595,boss
968,526,11.789826122551595,boss
969,526,11.789826122551595,boss
970,528,15.165750888103101,boss
971,528,10.770329614269007,boss
972,529,9.0,boss
973,529,9.0,boss
974,529,9.0,boss
975,531,9.433981132056603,boss
976,532,4.242640687119285,boss
977,532,4.242640687119285,boss
978,532,4.242640687119285,boss
979,535,7.483314773547883,boss
980,535,7.483314773547883,boss
981,535,7.483314773547883,boss
982,535,11.357816691600547,boss
983,534,10.816653826391969,boss
984,534,10.816653826391969,boss
985,534,10.816653826391969,boss
986,534,14.0,boss
987,534,14.560219778561036,boss
988,533,16.1245154965971,boss
989,530,13.416407864998739,boss
990,529,9.433981132056603,boss
991,529,6.48074069840786,boss
992,529,6.48074069840786,boss
993,529,6.48074069840786,boss
994,528,19.131126469708992,boss
