date,series,x_week,y_center_estimate_px,y_possible_low_px,y_possible_high_px,status,bend_detected_here
2023-12-07,other_coin,746,,,,not_observable_before_introduction,False
2023-12-07,other,746,,,,unresolved_at_axis,False
2023-12-14,boss,753,618.0,612.0,621.0,observed_thick_stroke,True
2023-12-14,field,753,740.0,732.0,743.0,observed_thick_stroke,True
2023-12-14,azmoth,753,,,,not_observable_before_launch,False
2023-12-14,other_coin,753,,,,not_observable_before_introduction,False
2023-12-14,other,753,,,,unresolved_at_axis,False
2023-12-21,boss,760,599.0,591.0,606.0,observed_thick_stroke,False
2023-12-21,field,760,729.0,723.0,737.0,observed_thick_stroke,True
2023-12-21,azmoth,760,,,,not_observable_before_launch,False
2023-12-21,other_coin,760,,,,not_observable_before_introduction,False
2023-12-21,other,760,,,,unresolved_at_axis,False
2023-12-28,boss,768,584.0,582.0,588.0,observed_thick_stroke,True
2023-12-28,field,768,723.0,721.0,725.0,observed_thick_stroke,False
2023-12-28,azmoth,768,,,,not_observable_before_launch,False
2023-12-28,other_coin,768,,,,not_observable_before_introduction,False
2023-12-28,other,768,,,,unresolved_at_axis,False
2024-01-04,boss,776,586.0,583.0,588.0,observed_thick_stroke,False
2024-01-04,field,776,722.0,716.0,724.0,observed_thick_stroke,True
2024-01-04,azmoth,776,,,,not_observable_before_launch,False
2024-01-04,other_coin,776,,,,not_observable_before_introduction,False
2024-01-04,other,776,,,,unresolved_at_axis,False
2024-01-11,boss,783,585.0,583.0,588.0,observed_thick_stroke,True
2024-01-11,field,783,713.0,709.0,720.0,observed_thick_stroke,False
2024-01-11,azmoth,783,,,,not_observable_before_launch,False
2024-01-11,other_coin,783,,,,not_observable_before_introduction,False
2024-01-11,other,783,,,,unresolved_at_axis,False
2024-01-18,boss,791,580.0,578.0,584.0,observed_thick_stroke,True
2024-01-18,field,791,702.0,700.0,704.0,observed_thick_stroke,True
2024-01-18,azmoth,791,,,,not_observable_before_launch,False
2024-01-18,other_coin,791,,,,not_observable_before_introduction,False
2024-01-18,other,791,,,,unresolved_at_axis,False
2024-01-25,boss,799,580.0,578.0,584.0,observed_thick_stroke,True
2024-01-25,field,799,712.0,710.0,720.0,observed_thick_stroke,True
2024-01-25,azmoth,799,,,,not_observable_before_launch,False
2024-01-25,other_coin,799,,,,not_observable_before_introduction,False
2024-01-25,other,799,,,,unresolved_at_axis,False
2024-02-01,boss,807,570.0,568.0,575.0,observed_thick_stroke,True
2024-02-01,field,807,720.0,716.0,722.0,observed_thick_stroke,False
2024-02-01,azmoth,807,,,,not_observable_before_launch,False
2024-02-01,other_coin,807,,,,not_observable_before_introduction,False
2024-02-01,other,807,,,,unresolved_at_axis,False
2024-02-08,boss,814,585.0,578.0,588.0,observed_thick_stroke,True
2024-02-08,field,814,723.0,721.0,726.0,observed_thick_stroke,True
2024-02-08,azmoth,814,,,,not_observable_before_launch,False
2024-02-08,other_coin,814,,,,not_observable_before_introduction,False
2024-02-08,other,814,,,,unresolved_at_axis,False
2024-02-15,boss,822,587.0,585.0,589.0,observed_thick_stroke,False
2024-02-15,field,822,724.0,721.0,726.0,observed_thick_stroke,True
2024-02-15,azmoth,822,,,,not_observable_before_launch,False
2024-02-15,other_coin,822,,,,not_observable_before_introduction,False
2024-02-15,other,822,,,,unresolved_at_axis,False
2024-02-22,boss,830,587.0,583.0,589.0,observed_thick_stroke,True
2024-02-22,field,830,720.0,717.0,723.0,observed_thick_stroke,True
2024-02-22,azmoth,830,,,,not_observable_before_launch,False
2024-02-22,other_coin,830,,,,unresolved_rgb,False
2024-02-22,other,830,,,,unresolved_at_axis,False
2024-02-29,boss,836,570.0,566.0,576.0,observed_thick_stroke,True
2024-02-29,field,836,719.0,717.0,721.0,observed_thick_stroke,False
2024-02-29,azmoth,836,,,,not_observable_before_launch,False
2024-02-29,other_coin,836,773.0,771.0,777.0,observed_thick_stroke,True
2024-02-29,other,836,,,,unresolved_at_axis,False
2024-03-07,boss,844,579.0,572.0,586.0,observed_thick_stroke,True
2024-03-07,field,844,719.0,717.0,721.0,observed_thick_stroke,False
2024-03-07,azmoth,844,,,,not_observable_before_launch,False
2024-03-07,other_coin,844,784.0,778.0,789.0,observed_thick_stroke,True
2024-03-07,other,844,,,,unresolved_at_axis,False
2024-03-14,boss,852,586.0,582.0,588.0,observed_thick_stroke,True
2024-03-14,field,852,719.0,717.0,721.0,observed_thick_stroke,True
2024-03-14,azmoth,852,,,,not_observable_before_launch,False
2024-03-14,other_coin,852,787.0,783.0,789.0,observed_thick_stroke,True
2024-03-14,other,852,,,,unresolved_at_axis,False
2024-03-21,boss,860,598.0,594.0,600.0,observed_thick_stroke,True
2024-03-21,field,860,724.0,719.0,726.0,observed_thick_stroke,False
2024-03-21,azmoth,860,,,,not_observable_before_launch,False
2024-03-21,other_coin,860,789.0,787.0,791.0,observed_thick_stroke,True
2024-03-21,other,860,,,,unresolved_at_axis,False
2024-03-28,boss,868,590.0,588.0,593.0,observed_thick_stroke,True
2024-03-28,field,868,725.0,723.0,727.0,observed_thick_stroke,True
2024-03-28,azmoth,868,,,,not_observable_before_launch,False
2024-03-28,other_coin,868,786.0,783.0,788.0,observed_thick_stroke,True
2024-03-28,other,868,,,,unresolved_at_axis,False
2024-04-04,boss,876,593.0,591.0,599.0,observed_thick_stroke,True
2024-04-04,field,876,690.0,688.0,705.0,observed_thick_stroke,True
2024-04-04,azmoth,876,,,,not_observable_before_launch,False
2024-04-04,other_coin,876,789.0,786.0,792.0,observed_thick_stroke,False
2024-04-04,other,876,,,,unresolved_at_axis,False
2024-04-11,boss,883,601.0,597.0,603.0,observed_thick_stroke,True
2024-04-11,field,883,698.0,690.0,707.0,observed_thick_stroke,False
2024-04-11,azmoth,883,,,,not_observable_before_launch,False
2024-04-11,other_coin,883,792.0,789.0,795.0,observed_thick_stroke,False
2024-04-11,other,883,,,,unresolved_at_axis,False
2024-04-18,boss,890,596.0,592.0,598.0,observed_thick_stroke,True
2024-04-18,field,890,711.0,702.0,713.0,observed_thick_stroke,True
2024-04-18,azmoth,890,,,,not_observable_before_launch,False
2024-04-18,other_coin,890,793.0,790.0,795.0,observed_thick_stroke,True
2024-04-18,other,890,,,,unresolved_at_axis,False
2024-04-25,boss,897,580.0,575.0,590.0,observed_thick_stroke,False
2024-04-25,field,897,713.0,710.0,715.0,observed_thick_stroke,False
2024-04-25,azmoth,897,,,,not_observable_before_launch,False
2024-04-25,other_coin,897,787.0,785.0,789.0,observed_thick_stroke,True
2024-04-25,other,897,,,,unresolved_at_axis,False
2024-05-02,boss,905,575.0,573.0,577.0,observed_thick_stroke,True
2024-05-02,field,905,714.0,711.0,718.0,observed_thick_stroke,True
2024-05-02,azmoth,905,,,,not_observable_before_launch,False
2024-05-02,other_coin,905,788.0,785.0,790.0,observed_thick_stroke,True
2024-05-02,other,905,,,,unresolved_at_axis,False
2024-05-09,boss,912,584.0,577.0,587.0,observed_thick_stroke,False
2024-05-09,field,912,714.0,712.0,717.0,observed_thick_stroke,True
2024-05-09,azmoth,912,,,,not_observable_before_launch,False
2024-05-09,other_coin,912,792.0,786.0,794.0,observed_thick_stroke,True
2024-05-09,other,912,,,,unresolved_at_axis,False
2024-05-16,boss,920,589.0,587.0,591.0,observed_thick_stroke,True
2024-05-16,field,920,716.0,714.0,718.0,observed_thick_stroke,True
2024-05-16,azmoth,920,,,,not_observable_before_launch,False
2024-05-16,other_coin,920,792.0,790.0,795.0,observed_thick_stroke,False
2024-05-16,other,920,,,,unresolved_at_axis,False
2024-05-23,boss,928,583.0,573.0,589.0,observed_thick_stroke,False
2024-05-23,field,928,713.0,711.0,716.0,observed_thick_stroke,True
2024-05-23,azmoth,928,,,,not_observable_before_launch,False
2024-05-23,other_coin,928,788.0,786.0,794.0,observed_thick_stroke,True
