date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index
2025-08-21,2,post_leap,valid,363337.0,388357.0,227.10249776265715,192.99766551722718,420.1001632798843,0.0006250464383276604,0.0004969594098142358,0.7950759805045411,672110.3225608021,308773.32256080204,0.7138069874272384,0.8212785025834982,0.0,8.76041170598829,False,0.0,88.20498911777096,70.12966820820414
2025-08-28,2,post_leap,valid,356257.0,356370.0,235.6952181960246,188.34408956912284,424.03930776514744,0.0006615876128638163,0.0005285071402450342,0.7988467891006662,640942.0302318044,284685.0302318044,0.6928778713277819,0.8314187542164765,0.0,7.997463310604143,False,1.6387885011817486e-16,93.36158821932858,74.58160497434922
2025-09-04,2,post_leap,valid,350337.0,332895.0,236.64906152890168,184.44552882120993,421.0945903501116,0.0006754897756414587,0.0005540651821781941,0.8202421445269734,623391.5087023068,273054.50870230683,0.6861555265608195,0.8502118086252582,0.0,8.353384513134783,False,0.0,95.32342663856075,78.18829188967268
2025-09-11,2,post_leap,valid,344546.0,309117.0,242.0959155211395,176.05395741393647,418.14987293507596,0.000702651940585987,0.0005695382570804468,0.8105553036763437,595102.4238065203,250556.42380652032,0.6440619196907923,0.8251539664111833,0.0,8.195687945303021,False,0.0,99.15648337872454,80.3718134965204
2025-09-18,2,post_leap,valid,354888.0,288952.0,249.72055864047977,171.37403170963185,421.0945903501116,0.0007036601931890618,0.0005930882351035184,0.8428617120084345,598434.5774082611,243546.57740826116,0.5523003459889316,0.8526449375728088,0.0,8.015556763388869,False,0.0,99.29876546278878,83.69512745829016
2025-09-25,2,post_leap,valid,337959.0,240758.0,254.38697030549008,140.2051633092999,394.59213361479,0.00075271547822514,0.0005823489284231465,0.7736640806115639,524224.81671987893,186265.8167198789,0.48750069065631435,0.8170561089982747,0.0,9.04625391471934,False,1.440387774464252e-16,106.22132451992587,82.17962337605101
2025-10-02,2,post_leap,valid,317938.0,216580.0,260.73312181181484,127.96957697290364,388.70269878471845,0.0008200753663035398,0.0005908651628631621,0.7205010504418217,473984.1175046897,156046.11750468973,0.45841570436018453,0.7827911621596162,0.0,8.730697299162573,False,0.0,115.7269833487742,83.38141306725501
2025-10-09,2,post_leap,valid,310420.0,198964.0,262.75670604858925,123.00127532109349,385.75798136968274,0.0008464554669434613,0.0006182086976593428,0.7303499378315621,455733.34503071895,145313.34503071892,0.4657751129780537,0.8003152781756017,0.0,9.196860791531712,False,1.280873258932975e-16,119.4496771314883,87.24006426698264
2025-10-16,2,post_leap,valid,302160.0,185308.0,272.30729472903397,104.61653439554155,376.9238291245755,0.0009012023256851799,0.0005645548729441877,0.62644631161483,418245.5131127209,116085.51311272092,0.35817852164679626,0.6942973231808205,0.0,8.805146027154798,False,0.0,127.17541682607083,79.66857079877066
2025-10-23,2,post_leap,valid,297683.0,169443.0,267.5689551351708,53.405243103725475,320.9741982388963,0.0008988385468272317,0.0003151811706811463,0.3506538207486646,357098.83534911595,59415.83534911597,0.14048351658589361,0.41636890211474964,0.0,5.902957808820667,False,1.2062257190822303e-16,126.8418462692975,44.47757802514393
