x,y,month,P,P_from_source_affine,error
320,725,4.3776602605443085,81.43790734815653,79.33727769577922,-2.1006296523773074
322,725,4.431832838901074,81.43790734815653,79.33727769577922,-2.1006296523773074
324,725,4.486005417257839,81.43790734815653,79.33727769577922,-2.1006296523773074
326,725,4.540177995614604,81.43790734815653,79.33727769577922,-2.1006296523773074
328,724,4.5943505739713695,81.43790734815653,80.82347408042801,-0.6144332677285149
330,724,4.648523152328134,81.43790734815653,80.82347408042801,-0.6144332677285149
332,723,4.7026957306848995,81.43790734815653,82.3096704650768,0.8717631169202775
334,723,4.756868309041665,81.43790734815653,82.3096704650768,0.8717631169202775
336,722,4.81104088739843,81.43790734815653,83.7958668497256,2.35795950156907
338,722,4.865213465755195,81.43790734815653,83.7958668497256,2.35795950156907
340,722,4.919386044111961,81.43790734815653,83.7958668497256,2.35795950156907
342,721,4.973558622468725,82.8160059901985,85.28206323437439,2.466057244175886
344,721,5.027731200825491,85.47393884937195,85.28206323437439,-0.19187561499755645
346,720,5.081903779182255,86.96276472143552,86.76825961902318,-0.19450510241233587
348,718,5.136076357539021,88.45159059349909,89.74065238832077,1.2890617948216772
350,716,5.190248935895786,88.87053258067996,92.71304515761813,3.8425125769381623
352,713,5.244421514252551,90.27163947831083,97.1716343115645,6.899994833253672
354,712,5.298594092609316,93.58051423518616,98.6578306962133,5.077316461027138
356,710,5.352766670966081,98.04699185137679,101.63022346551088,3.5832316141340925
358,708,5.406939249322846,99.61203257007871,104.60261623480824,4.990583664729527
360,702,5.461111827679612,102.18224645481945,113.51979454270099,11.337548087881544
362,701,5.515284406036376,106.5840133521663,115.00599092734979,8.42197757518349
364,699,5.569456984393142,112.53931684042064,117.97838369664714,5.439066856226503
366,697,5.623629562749907,118.49462032867503,120.95077646594473,2.4561561372697014
368,697,5.677802141106672,118.60103351077373,120.95077646594473,2.3497429551709956
370,695,5.731974719463437,120.78681779171691,123.92316923524231,3.136351443525399
372,691,5.786147297820202,123.76446953584404,129.86795477383725,6.103485237993212
374,690,5.8403198761769675,126.7421212799712,131.35415115848605,4.612029878514846
376,690,5.894492454533733,129.7197730240984,131.35415115848605,1.6343781343876458
378,688,5.9486650328904975,132.69742476822552,134.32654392778363,1.6291191595581154
380,685,6.002837611247263,133.4662839758206,138.7851330817299,5.318849105909294
382,684,6.057010189604028,134.93641564021806,140.2713294663787,5.33491382616063
384,681,6.111182767960793,137.91406738434523,144.72991862032495,6.815851235979721
386,680,6.1653553463175585,140.8917191284724,146.21611500497374,5.324395876501342
388,674,6.219527924674323,143.86937087259952,155.13329331286639,11.263922440266867
390,666,6.273700503031089,152.42652459702913,167.0228643900565,14.596339793027369
392,665,6.327873081387854,159.8620258615014,168.50906077470518,8.647034913203782
394,655,6.382045659744619,165.8374615733956,183.37102462119287,17.533563047797287
396,655,6.436218238101384,176.22760632640626,183.37102462119287,7.143418294786613
398,655,6.490390816458149,180.69408394259693,183.37102462119287,2.6769406785959404
400,654,6.544563394814914,184.03315703493277,184.85722100584167,0.8240639709088953
402,654,6.59873597317168,185.4946606034847,184.85722100584167,-0.6374395976430378
404,654,6.652908551528444,185.4946606034847,184.85722100584167,-0.6374395976430378
406,654,6.70708112988521,185.4946606034847,184.85722100584167,-0.6374395976430378
408,654,6.761253708241974,185.4946606034847,184.85722100584167,-0.6374395976430378
410,654,6.81542628659874,185.4946606034847,184.85722100584167,-0.6374395976430378
412,654,6.869598864955505,185.4946606034847,184.85722100584167,-0.6374395976430378
414,653,6.92377144331227,185.4946606034847,186.34341739049046,0.8487567870057546
