date,indicator,source,scale_from_overlap_differences,offset_from_overlap_median,aligned_2510_pixel_equivalent
2023-07-06 00:36:55.384615385,-878.0,2311,0.058818037143286,84.08564829891603,32.443411687110924
2023-07-06 23:39:41.538461540,-873.0,2311,0.058818037143286,84.08564829891603,32.73750187282735
2023-07-07 22:42:27.692307692,-869.0,2311,0.058818037143286,84.08564829891603,32.9727740214005
2023-07-08 21:45:13.846153846,-865.0,2311,0.058818037143286,84.08564829891603,33.20804616997364
2023-07-09 20:47:59.999999998,-863.0,2311,0.058818037143286,84.08564829891603,33.325682244260214
2023-07-10 19:50:46.153846154,-860.0,2311,0.058818037143286,84.08564829891603,33.50213635569007
2023-07-11 18:53:32.307692306,-856.0,2311,0.058818037143286,84.08564829891603,33.737408504263215
2023-07-12 17:56:18.461538462,-853.0,2311,0.058818037143286,84.08564829891603,33.91386261569307
2023-07-13 16:59:04.615384616,-850.0,2311,0.058818037143286,84.08564829891603,34.09031672712293
2023-07-14 16:01:50.769230770,-847.0,2311,0.058818037143286,84.08564829891603,34.26677083855279
2023-07-15 15:04:36.923076922,-844.0,2311,0.058818037143286,84.08564829891603,34.44322494998264
2023-07-16 14:07:23.076923078,-841.0,2311,0.058818037143286,84.08564829891603,34.619679061412505
2023-07-17 13:10:09.230769232,-837.0,2311,0.058818037143286,84.08564829891603,34.85495120998565
2023-07-18 12:12:55.384615384,-833.0,2311,0.058818037143286,84.08564829891603,35.09022335855879
2023-07-19 11:15:41.538461538,-829.0,2311,0.058818037143286,84.08564829891603,35.32549550713193
2023-07-20 10:18:27.692307692,-827.0,2311,0.058818037143286,84.08564829891603,35.443131581418506
2023-07-21 09:21:13.846153846,-823.0,2311,0.058818037143286,84.08564829891603,35.67840372999165
2023-07-22 08:23:59.999999998,-819.0,2311,0.058818037143286,84.08564829891603,35.913675878564796
2023-07-23 07:26:46.153846154,-816.0,2311,0.058818037143286,84.08564829891603,36.09012998999465
2023-07-24 06:29:32.307692308,-810.0,2311,0.058818037143286,84.08564829891603,36.44303821285437
2023-07-25 05:32:18.461538462,-806.0,2311,0.058818037143286,84.08564829891603,36.67831036142751
2023-07-26 04:35:04.615384616,-800.0,2311,0.058818037143286,84.08564829891603,37.03121858428723
2023-07-27 03:37:50.769230768,-794.0,2311,0.058818037143286,84.08564829891603,37.38412680714694
2023-07-28 02:40:36.923076924,-789.0,2311,0.058818037143286,84.08564829891603,37.678216992863376
2023-07-29 01:43:23.076923078,-781.0,2311,0.058818037143286,84.08564829891603,38.14876129000966
2023-07-30 00:46:09.230769232,-776.0,2311,0.058818037143286,84.08564829891603,38.442851475726094
2023-07-30 23:48:55.384615384,-772.0,2311,0.058818037143286,84.08564829891603,38.67812362429924
2023-07-31 22:51:41.538461538,-767.0,2311,0.058818037143286,84.08564829891603,38.97221381001567
2023-08-01 21:54:27.692307692,-764.0,2311,0.058818037143286,84.08564829891603,39.14866792144552
2023-08-02 20:57:13.846153846,-763.0,2311,0.058818037143286,84.08564829891603,39.20748595858881
2023-08-03 20:00:00.000000000,-761.0,2311,0.058818037143286,84.08564829891603,39.325122032875385
