x_pixel,date,field_y_v2,azmoth_y_v2,read_total_v2,field_y_v1,azmoth_y_v1,read_total_v1
806,2024-02-02T11:05:26.707000846,719,710,169.29732378534396,719,710,169.29732378534396
809,2024-02-05T02:15:14.779602402,720,710,167.45212134626667,720,710,167.4521213462667
812,2024-02-07T17:25:02.852203957,724,710,162.37781463880404,724,710,162.37781463880404
815,2024-02-10T08:34:50.924805513,724,710,159.61001098018806,724,729,159.61001098018806
818,2024-02-12T23:44:38.997407068,723,710,160.0713115899574,723,710,160.0713115899574
821,2024-02-15T14:54:27.070008624,723,710,159.61001098018806,723,710,159.61001098018806
824,2024-02-18T06:04:15.142610179,721,710,160.5326121997267,721,710,160.5326121997267
827,2024-02-20T21:14:03.215211735,720,710,160.5326121997267,720,774,160.5326121997267
830,2024-02-23T12:23:51.287813291,720,710,185.44284512727052,720,770,185.4428451272705
833,2024-02-26T03:33:39.360414846,719,710,190.97845244450247,719,770,190.97845244450247
836,2024-02-28T18:43:27.433016402,719,710,193.74625610311844,719,775,193.74625610311844
839,2024-03-02T12:13:28.988764023,719,710,192.8236548835798,719,773,192.8236548835798
842,2024-03-05T07:44:38.997407065,720,710,189.59455061519446,720,775,189.5945506151945
845,2024-03-08T03:15:49.006050107,720,710,181.29113963934654,720,789,181.2911396393465
848,2024-03-10T22:46:59.014693149,720,710,181.29113963934654,720,784,181.2911396393465
851,2024-03-13T18:18:09.023336191,718,710,181.29113963934654,718,788,181.2911396393465
854,2024-03-16T13:49:19.031979233,718,710,180.82983902957722,718,789,180.8298390295772
857,2024-03-19T09:20:29.040622275,722,710,175.7555323221146,722,786,175.7555323221146
860,2024-03-22T04:51:39.049265317,725,710,170.21992500488264,725,787,170.21992500488264
863,2024-03-25T00:22:49.057908364,725,710,171.6038268341906,725,786,171.6038268341906
866,2024-03-27T19:53:59.066551406,726,710,174.83293110257594,726,782,174.83293110257594
869,2024-03-30T15:25:09.075194448,725,710,174.83293110257594,725,788,174.83293110257594
872,2024-04-02T09:48:41.694036281,702,710,184.9815445175012,702,784,184.9815445175012
875,2024-04-05T03:09:10.734658580,690,710,188.67194939565582,690,787,188.67194939565584
878,2024-04-07T20:29:39.775280879,691,710,186.36544634680916,691,789,186.3654463468092
881,2024-04-10T13:50:08.815903177,696,710,181.75244024911586,696,790,181.75244024911584
884,2024-04-13T07:10:37.856525476,698,710,180.3685384198079,698,791,180.3685384198079
887,2024-04-16T00:31:06.897147775,704,710,178.06203537096124,704,796,178.06203537096124
890,2024-04-18T17:51:35.937770074,710,710,176.2168329318839,710,791,176.2168329318839
893,2024-04-21T11:12:04.978392372,712,710,177.60073476119192,712,789,177.60073476119192
896,2024-04-24T04:32:34.019014671,712,710,184.9815445175012,712,790,184.9815445175012
899,2024-04-26T21:53:03.059636970,713,710,187.28804756634784,713,784,187.28804756634784
902,2024-04-29T15:13:32.100259269,714,710,187.28804756634784,714,789,187.28804756634784
905,2024-05-02T09:39:09.178910953,715,710,186.8267469565785,715,785,186.8267469565785
908,2024-05-05T05:10:19.187554,715,710,185.90414573703984,715,791,185.90414573703984
911,2024-05-08T00:41:29.196197037,715,710,181.29113963934654,715,787,181.2911396393465
914,2024-05-10T20:12:39.204840084,714,710,179.90723781003857,714,794,179.90723781003857
917,2024-05-13T15:43:49.213483122,716,710,178.06203537096124,716,790,178.06203537096124
920,2024-05-16T11:14:59.222126168,717,710,176.67813354165324,717,790,176.67813354165324
923,2024-05-19T06:46:09.230769206,716,710,177.13943415142256,716,790,177.13943415142256
926,2024-05-22T02:17:19.239412253,714,710,179.4459372002692,714,793,179.4459372002692
929,2024-05-24T21:48:29.248055290,712,710,183.5976426881932,712,784,183.5976426881932
932,2024-05-27T17:19:39.256698337,712,710,187.74934817611717,712,789,187.7493481761172
935,2024-05-30T12:50:49.265341374,715,710,195.59145854219577,715,786,195.59145854219577
938,2024-06-02T07:19:20.587726859,712,710,195.59145854219577,712,785,195.59145854219577
941,2024-06-05T00:39:49.628349153,707,710,196.97536037150374,707,790,196.9753603715037
944,2024-06-07T18:00:18.668971456,706,710,194.6688573226571,706,787,194.6688573226571
947,2024-06-10T11:20:47.709593751,706,710,192.8236548835798,706,792,192.8236548835798
950,2024-06-13T04:41:16.750216054,708,710,191.90105366404111,708,788,191.90105366404111
953,2024-06-15T22:01:45.790838348,708,710,191.4397530542718,708,792,191.4397530542718
956,2024-06-18T15:22:14.831460652,711,710,192.8236548835798,711,791,192.8236548835798
959,2024-06-21T08:42:43.872082955,711,710,196.0527591519651,711,790,196.0527591519651
962,2024-06-24T02:03:12.912705249,711,710,204.35617012781302,711,788,204.35617012781304
965,2024-06-26T19:23:41.953327553,711,710,213.58218232319962,711,784,213.5821823231996
968,2024-06-29T12:44:10.993949847,710,710,214.96608415250762,710,776,214.9660841525076
971,2024-07-02T07:04:49.369057888,710,710,213.58218232319962,710,779,213.5821823231996
974,2024-07-05T02:35:59.377700926,709,710,209.891777445045,709,792,209.891777445045
977,2024-07-07T22:07:09.386343973,710,710,208.04657500596767,710,788,208.04657500596767
980,2024-07-10T17:38:19.394987010,710,710,206.20137256689034,710,793,206.20137256689037
983,2024-07-13T13:09:29.403630057,711,710,206.20137256689034,711,793,206.20137256689037
986,2024-07-16T08:40:39.412273094,711,710,206.66267317665967,711,787,206.66267317665967
989,2024-07-19T04:11:49.420916141,711,710,208.507875615737,711,791,208.507875615737
992,2024-07-21T23:42:59.429559178,711,710,209.43047683527564,711,790,209.43047683527564
995,2024-07-24T19:14:09.438202225,710,710,211.7369798841223,710,790,211.7369798841223
998,2024-07-27T14:45:19.446845263,709,710,212.65958110366097,709,788,212.65958110366097
1001,2024-07-30T10:16:29.455488309,709,710,218.19518842089292,709,780,218.1951884208929
1004,2024-08-02T05:47:39.464131346,709,710,225.11469756743287,709,785,225.11469756743287
1007,2024-08-05T01:18:49.472774393,708,710,224.1920963478942,708,781,224.1920963478942
