date,total_px,top_y,boss_y,field_y,azmoth_y,other_coin_y,etc_y,azmoth_active,other_coin_active,contains_month_1_or_2,month,target_negative_y,source_sum,boss_source,ratio,source_sum_prediction,ratio_free_origin_prediction,ratio_positive_origin_prediction,source_zero_y
2024-05-30,224,540,564.4735279057878,714.4291858678952,710.0,782.331899641578,822.0,False,True,True,16.93548387096774,-648.377112135177,428.76538658473896,263.5264720942122,1.6270296611091615,-645.1869945275284,-645.4338012670822,-642.9030854064553,828.0
2024-06-06,219,545,567.7142857142856,706.6428571428572,710.0,785.7857142857139,818.6428571428572,False,True,False,17.166666666666668,-647.0,433.2142857142861,260.28571428571445,1.6643798024149292,-643.8306703748844,-648.778620134476,-643.9236905828502,828.0
2024-06-13,223,541,569.0,707.856507936509,710.0,790.0,821.0,False,True,False,17.4,-648.0,424.14349206349095,259.0,1.637619660476799,-646.5960593293146,-646.1488174883929,-642.9452848343607,828.0
2024-06-27,240,524,528.788571428572,710.929523809524,710.0,780.070476190476,821.0,False,True,True,17.866666666666667,-635.0,471.211428571428,299.211428571428,1.5748443527749143,-632.2465815727062,-636.374027167428,-636.830799492406,828.0
2024-07-04,234,530,528.6060419866875,709.3939580133125,710.0,786.2422939068128,821.6060419866875,False,True,False,18.096774193548388,-635.2483102918586,466.15166410649965,299.3939580133125,1.5569842063605448,-633.789138630225,-639.1729206363634,-641.0016781155214,828.0
2024-07-11,238,526,534.905785970302,710.094214029698,710.0,790.0,822.0,False,True,False,18.322580645161292,-638.0,455.0,293.09421402969804,1.5524018497134056,-637.1889170763951,-637.1002047503987,-639.1156217848095,828.0
2024-07-18,242,522,531.6704557091662,711.0,710.0,789.0,822.0,False,True,False,18.548387096774192,-636.0,458.32954429083384,296.32954429083384,1.5466886549827257,-636.1738476833932,-635.0260910257925,-637.304454241258,828.0
2024-07-25,259,505,526.0,709.9294418842801,710.0,786.9294418842801,822.0,False,True,False,18.774193548387096,-634.0,467.1411162314398,302.0,1.5468248881835756,-633.487486968575,-626.5277942540276,-628.2934553368892,828.0
2024-08-01,246,518,508.29523809523516,709.0,710.0,783.3238095238088,822.0,False,True,True,19.0,-625.157142857143,489.38095238095605,319.70476190476484,1.530727754773747,-626.707286734297,-632.8599524011584,-636.0878728939579,828.0
2024-08-08,248,516,515.3752176139268,705.9530977982591,710.0,785.1876088069635,822.0,False,True,False,19.225806451612904,-631.0,483.4840757808506,312.6247823860732,1.5465315068457248,-628.5050519622756,-632.024856950723,-634.1360176690646,828.0
2024-08-15,250,514,524.5350742447513,694.3246287762435,710.0,793.5350742447513,822.0,False,True,False,19.451612903225808,-628.0,477.60522273425397,303.4649257552487,1.5738399472216216,-630.2973223969968,-631.2743515471003,-631.4968124601764,828.0
2024-08-22,267,497,523.9535074244744,695.0464925755256,710.0,791.8605222734232,822.0,False,True,False,19.677419354838708,-628.0,479.13947772657684,304.0464925755256,1.575875694759274,-629.8295781209844,-622.6334068354737,-622.2064332637847,828.0
2024-08-29,257,507,506.86298003072096,698.0,710.0,782.954326676907,822.0,False,True,True,19.903225806451612,-622.4054531490017,502.182693292372,321.13701996927904,1.5637645679729242,-622.8044537213551,-627.6440910478161,-628.3318940716767,828.0
2024-09-05,265,499,505.0,696.9060317460313,710.0,791.0,822.0,False,True,False,20.133333333333333,-623.0,497.0939682539687,323.0,1.5389906137893767,-624.3558399125843,-623.494299994293,-625.6093103892579,828.0
2024-09-12,272,492,501.52761904761974,693.7638095238099,710.0,790.7638095238099,822.0,False,True,False,20.366666666666667,-619.0,503.9447619047605,326.47238095238026,1.5436061097562388,-622.2672565073914,-620.0213823824006,-621.6189309459724,828.0
2024-09-19,291,473,492.0539682539657,689.0,710.0,789.4323809523794,822.0,False,True,False,20.6,-614.5433333333334,519.513650793655,335.9460317460343,1.5464199654139466,-617.5208103833165,-610.5296661427966,-611.3748258784234,828.0
2024-09-26,289,475,469.7936507936487,690.0,710.0,778.9587301587297,822.0,False,True,True,20.833333333333332,-607.0,551.2476190476216,358.2063492063513,1.5389107989542232,-607.8461591159421,-611.5555052162225,-612.9685634596794,828.0
2024-10-03,273,491,462.0,688.0768049155149,710.0,785.6154633896567,821.0,False,True,False,21.06451612903226,-603.0,555.3077316948284,366.0,1.5172342396033562,-606.6083632735306,-619.4777479645066,-622.8240720807581,828.0
2024-10-10,285,479,469.7959037378395,691.1836149513582,710.0,793.1836149513582,821.0,False,True,False,21.29032258064516,-609.1996927803377,536.836866359444,358.2040962621605,1.4986899143848615,-612.2395273087483,-613.6331135900248,-617.8855214543281,828.0
2024-10-17,289,475,492.54521249359993,705.1363031234,722.4993343573998,798.5681515617,822.0,True,True,False,21.516129032258064,-624.7359447004605,599.2509984639003,335.45478750640007,1.7863838012819158,-593.2114953452079,-610.694906510135,-595.3442606395143,828.0
2024-10-24,295,469,504.0,712.0889912954418,720.9321044546987,800.0,822.7722478238604,True,True,False,21.741935483870968,-627.5362519201227,580.2066564259991,324.0,1.7907612852654293,-599.0174937113361,-607.2066233555645,-591.3536790656351,828.0
2024-10-31,265,499,496.7363127333053,715.7910618000842,774.6916217337264,780.6268145997473,823.0,True,True,True,21.967741935483872,-626.0,549.1541891331369,331.2636872666947,1.6577554686548615,-608.4843775767802,-624.0026353450191,-618.1271579640392,828.0
2024-11-07,263,501,507.6558730158719,718.0,770.4590476190474,794.7542857142843,823.0,True,True,False,22.2,-631.0,526.1307936507965,320.3441269841281,1.6423925064712186,-615.503459479802,-624.9986487350675,-620.2196970148964,828.0
2024-11-14,258,506,517.3907936507936,717.0,774.3907936507936,799.0,823.0,True,True,False,22.433333333333334,-634.0,509.21841269841275,310.6092063492064,1.6394182860308315,-620.6594924885275,-627.633613055319,-623.2116355616084,828.0
2024-11-21,292,472,520.0,724.6952380952397,772.07619047619,798.0,823.0,True,True,False,22.666666666666668,-639.0,502.22857142857026,308.0,1.6306122448979554,-622.7904669748832,-609.6553782187509,-604.7629400951282,828.0
2024-11-28,291,473,503.80190476190603,726.400952380953,766.400952380953,782.400952380953,823.0,True,True,True,22.9,-628.345714285715,537.9952380952351,324.19809523809397,1.6594645249230309,-611.8863775705222,-610.0634677506557,-603.2467126558427,828.0
2024-12-05,310,454,494.0,710.6028673835128,759.9432667690733,793.1701996927802,822.9432667690733,True,True,False,23.129032258064516,-623.5758064516134,559.3403993855604,334.0,1.6746718544477857,-605.3789345026688,-599.7156956032306,-591.2588580479046,828.0
2024-12-12,371,393,485.1856630824397,698.4550947260628,757.9101894521257,794.9101894521257,821.4550947260628,True,True,False,23.35483870967742,-613.6903225806452,582.0837685611833,342.8143369175603,1.697956315931916,-598.4452234817725,-565.9971093817317,-553.9700529117283,828.0
