date,azmoth_height,source_sum,source_sum_excluding_azmoth,target_negative_y,source_sum_prediction_from_pre,source_sum_excluding_azmoth_prediction_from_pre
2024-08-15,0.0,461.605222734254,461.605222734254,-628.0,-630.266635628215,-630.266635628215
2024-08-22,0.0,463.1394777265768,463.1394777265768,-628.0,-629.7917527325533,-629.7917527325533
2024-08-29,0.0,486.182693292372,486.182693292372,-622.4054531490017,-622.659412288496,-622.659412288496
2024-09-05,0.0,481.0939682539687,481.0939682539687,-623.0,-624.2344754256897,-624.2344754256897
2024-09-12,0.0,487.9447619047605,487.9447619047605,-619.0,-622.1140164780259,-622.1140164780259
2024-09-19,0.0,503.5136507936549,503.5136507936549,-614.5433333333334,-617.2951310419097,-617.2951310419097
2024-09-26,0.0,535.2476190476216,535.2476190476216,-607.0,-607.4728271806305,-607.4728271806305
2024-10-03,0.0,539.3077316948284,539.3077316948284,-603.0,-606.2161403454786,-606.2161403454786
2024-10-10,0.0,520.836866359444,520.836866359444,-609.1996927803377,-611.933246080663,-611.933246080663
2024-10-17,101.50066564260021,579.2509984639003,477.75033282130005,-624.7359447004605,-593.8528928537654,-625.269398097767
2024-10-24,103.06789554530133,560.2066564259991,457.13876088069776,-627.5362519201227,-599.7475012064733,-631.649095746639
2024-10-31,49.30837826627362,529.1541891331369,479.8458108668633,-626.0,-609.3588667612618,-624.6208053364255
2024-11-07,53.540952380952604,506.1307936507964,452.5898412698438,-631.0,-616.4850724893363,-633.0570782057112
2024-11-14,49.609206349206374,489.2184126984128,439.60920634920643,-634.0,-621.7197958432697,-637.0748467836102
2024-11-21,51.92380952380995,482.2285714285703,430.30476190476037,-639.0,-623.883292836304,-639.9547601894074
2024-11-28,57.59904761904704,517.9952380952351,460.39619047618805,-628.345714285715,-612.8127873989276,-630.6408555216041
2024-12-05,64.05673323092674,539.3403993855604,475.2836661546337,-623.5758064516134,-606.2060290356592,-626.032881231379
2024-12-12,66.08981054787432,562.0837685611833,495.993958013309,-613.6903225806452,-599.1664971030496,-619.6226277747771
2024-12-19,70.96692268305128,638.3815668203057,567.4146441372544,-589.610215053764,-575.5507881425415,-597.5164834855973
2024-12-26,73.56374807987743,762.8499743983656,689.2862263184882,-563.1225806451623,-537.0253030668314,-559.7947682982978
2025-01-02,79.00942140296956,815.9811571940608,736.9717357910912,-560.8145161290321,-520.5801293100557,-545.0351403793636
2025-01-09,80.99518689196213,798.0192524321511,717.024065540189,-564.9655913978492,-526.1397014721908,-551.2093470515617
2025-01-16,84.9715309779831,798.8861239119324,713.9145929339493,-563.0,-525.8713872476683,-552.1717916012751
2025-01-23,87.47393753200197,803.104249871992,715.63031233999,-564.0,-524.5657921020098,-551.6407418059279
2025-01-30,91.88632872503729,823.2043010752612,731.317972350224,-553.5618279569899,-518.3444204485892,-546.785094309851
2025-02-06,93.92210884353699,825.9346938775567,732.0125850340197,-555.9749149659863,-517.4993087515531,-546.5700976604708
2025-02-13,93.39546485260803,798.9773242630403,705.5818594104322,-561.0,-525.8431588977289,-554.7509408588793
2025-02-20,97.30045351473905,831.8027210884342,734.5022675736951,-549.0,-515.6830358584116,-545.799490649488
2025-02-27,102.14489795918576,865.9548752834493,763.8099773242635,-544.819557823129,-505.1122546268911,-536.7281627794767
2025-03-06,102.53067076292871,797.3894521249332,694.8587813620045,-562.1154377880183,-526.3346373825036,-558.0699500063314
2025-03-13,104.95750128008171,778.0849974398366,673.1274961597549,-565.0,-532.3097558510112,-564.7962215159127
