date,season,weight_status,P_total,A_accounts,C_accounts,M_boss,C_boss,residual_C_to_M_productivity_assumed,main_residual,main_total,challenger_total,q_main,q_main_sep2025_100,own_scenario_baseline
2025-10-02,2,valid,618.8230520859698,317938.0,216580.0,260.73312181181484,127.96957697290364,0.0,230.12035330125133,490.85347511306617,127.96957697290367,0.001543865392350289,110.77471554519784,0.001393698358647888
2025-10-09,2,valid,593.4354396926993,310420.0,198964.0,262.75670604858925,123.00127532109347,0.0,207.6774583230166,470.43416437160585,123.00127532109349,0.0015154763364847814,108.73775713957487,0.001393698358647888
2025-10-16,2,valid,570.5748891782056,302160.0,185308.0,272.307294729034,104.61653439554156,0.0,193.6510600536301,465.9583547826641,104.61653439554146,0.001542091457448584,110.64743298863186,0.001393698358647888
2025-10-23,2,valid,507.75224786541116,297683.0,169443.0,267.5689551351708,53.40524310372548,0.0,186.77804962651487,454.3470047616857,53.40524310372547,0.0015262779693892017,109.51279090763495,0.001393698358647888
2025-10-30,2,valid,505.83647757535863,305432.0,150125.0,267.11500022604446,33.24617610760164,0.0,205.47530124171254,472.590301467757,33.24617610760163,0.001547284834161964,111.02006575246884,0.001393698358647888
2025-11-06,2,valid,469.6708292755053,299525.0,134699.0,270.1843104609574,27.23214845765296,0.0,172.25437035689492,442.43868081785234,27.232148457652954,0.0014771343988576992,105.98666416531894,0.001393698358647888
2025-11-13,2,valid,462.83430793817575,296153.0,118308.0,275.32206126540274,25.03911506824336,0.0,162.47313160452967,437.7951928699324,25.039115068243348,0.0014782737060571138,106.06841120852562,0.001393698358647888
2025-11-20,0,season_end_boundary,437.93631378391717,326468.0,,,,0.0,,,,,,0.001393698358647888
2025-11-27,0,outside_season,441.1097653330759,309116.0,0.0,273.8587195983244,0.0,0.0,167.25104573475153,441.1097653330759,0.0,0.001427003989871362,102.38973024663572,0.001393698358647888
2025-12-04,0,outside_season,434.2393158501497,299044.0,0.0,270.91400218328863,0.0,0.0,163.32531366686106,434.2393158501497,0.0,0.0014520917184432716,104.18981334325704,0.001393698358647888
2025-12-11,0,outside_season,437.93631378391717,283675.0,0.0,279.7481544283959,0.0,0.0,158.1881593555213,437.93631378391717,0.0,0.0015437959417781517,110.76973235986893,0.001393698358647888
2025-12-18,3,missing_challenger_count,482.36463547214055,320480.0,,282.6928718434315,14.72358707517889,0.0,,,,,,0.001393698358647888
2025-12-25,3,valid,555.8629432867106,341835.0,289845.0,288.58230667350296,29.44717415035764,0.0,237.83346246284998,526.415769136353,29.44717415035757,0.0015399703632932643,110.4952412218727,0.001393698358647888
2026-01-01,3,valid,593.4354396926993,312624.0,283614.0,291.5270240885388,32.391891565393266,0.0,269.5165240387673,561.043548127306,32.39189156539328,0.0017946272459161998,128.76726407694684,0.001393698358647888
2026-01-08,3,valid,563.0434258242125,296529.0,257052.0,294.47174150357444,32.39189156539338,0.0,236.17979275524465,530.6515342588191,32.391891565393394,0.0017895434654243568,128.4024950105059,0.001393698358647888
2026-01-15,3,valid,477.0502009423504,284602.0,234425.0,310.49004723331734,31.09717291082924,0.0,135.46298079820383,445.95302803152117,31.097172910829215,0.0015669356787075324,112.43004406116347,0.001393698358647888
2026-01-22,3,valid,507.75224786541116,274108.0,217437.0,322.58179703023785,27.839575359015942,0.0,157.33087547615736,479.9126725063952,27.839575359015953,0.0017508160013804603,125.6237399231089,0.001393698358647888
2026-01-29,3,valid,517.2726025128876,266223.0,193637.0,329.87713360644966,23.48895619783986,0.0,163.9065127085981,493.78364631504775,23.488956197839855,0.001854774554847056,133.08292596731522,0.001393698358647888
2026-02-05,3,valid,505.8611297993827,257958.0,179372.0,336.2409979413414,20.06980927798387,0.0,149.5503225800574,485.7913205213988,20.069809277983893,0.0018832186655246155,135.12383464034795,0.001393698358647888
2026-02-12,3,valid,504.57879631625235,257515.0,168935.0,345.9232658877453,19.221693576687223,0.0,139.43383685181988,485.35710273956516,19.221693576687187,0.001884772159833661,135.23530024547017,0.001393698358647888
2026-02-19,3,valid,514.0991509637288,254819.0,154821.0,354.4917289582322,16.542665336271824,0.0,143.06475666922478,497.556485627457,16.542665336271796,0.0019525878589408835,140.10118092089945,0.001393698358647888
2026-02-26,3,valid,553.9292061215394,251789.0,148798.0,359.34017811684504,14.638933592694675,0.0,179.95009441199971,539.2902725288448,14.638933592694684,0.0021418341251160486,153.6798914790983,0.001393698358647888
2026-03-05,3,valid,514.0991509637288,248384.0,139917.0,362.7250312940273,11.25408041551242,0.0,140.12003925418907,502.84507054821637,11.25408041551242,0.0020244664332171813,145.25857913625157,0.001393698358647888
2026-03-12,3,valid,520.4460540620464,244263.0,132277.0,367.4711391457794,15.34212480886753,0.0,137.63279010739944,505.1039292531788,15.342124808867595,0.0020678691789308198,148.3727928715498,0.001393698358647888
2026-03-19,3,valid,558.5274726519523,279166.0,138000.0,391.36890938433,29.72568096578164,0.0,137.43288230184066,528.8017916861706,29.725680965781635,0.0018942198967143945,135.91318989225854,0.001393698358647888
2026-03-26,3,valid,568.0478272994287,327578.0,154628.0,388.6630356272186,32.43155472289299,0.0,146.9532369493171,535.6162725765357,32.431554722893,0.0016350801109248354,117.31951184265773,0.001393698358647888
2026-04-02,3,valid,587.6748695472763,320130.0,130670.0,395.4936857737926,28.54562199135481,0.0,163.63556178212895,559.1292475559216,28.54562199135478,0.0017465693548118625,125.31903650272763,0.001393698358647888
2026-04-09,3,valid,568.4346861549432,313838.0,119643.0,401.2395762542323,31.633883756022367,0.0,135.56122614468848,536.8008023989207,31.633883756022442,0.001710439151405887,122.72663885930731,0.001393698358647888
2026-04-16,0,season_end_boundary,580.7416334960641,329305.0,,,,0.0,,,,,,0.001393698358647888
2026-04-23,0,outside_season,583.0748759683954,338004.0,0.0,438.76289484032617,0.0,0.0,144.31198112806925,583.0748759683954,0.0,0.0017250531827090669,123.77521807391999,0.001393698358647888
2026-04-30,0,outside_season,640.9042301985003,332744.0,0.0,447.5970470854334,0.0,0.0,193.30718311306686,640.9042301985003,0.0,0.0019261180673385554,138.20193267696752,0.001393698358647888
2026-05-07,0,outside_season,590.6743906029266,326800.0,0.0,456.4311993305406,0.0,0.0,134.24319127238596,590.6743906029266,0.0,0.00180744917565155,129.68725724876847,0.001393698358647888
2026-05-14,0,outside_season,571.2212788485875,327108.0,0.0,459.3759167455764,0.0,0.0,111.84536210301115,571.2212788485875,0.0,0.0017462773116175315,125.29808195452723,0.001393698358647888
2026-05-21,0,outside_season,588.2526229690943,326406.0,0.0,468.2100689906836,0.0,0.0,120.0425539784107,588.2526229690943,0.0,0.0018022114267785957,129.31144071426124,0.001393698358647888
2026-05-28,0,outside_season,656.9044706758757,329278.0,0.0,479.9889386508266,0.0,0.0,176.91553202504912,656.9044706758757,0.0,0.001994984392142432,143.1431973614354,0.001393698358647888
2026-06-04,0,outside_season,637.8637613809228,332640.0,0.0,488.8230908959338,0.0,0.0,149.04067048498905,637.8637613809228,0.0,0.0019175798502312495,137.5893024722804,0.001393698358647888
2026-06-11,0,outside_season,639.1633653486704,336357.0,0.0,506.4913953861483,0.0,0.0,132.67196996252204,639.1633653486704,0.0,0.0019002529019722211,136.3460672950618,0.001393698358647888
