date,extra_boss_C_share_assumed,nonboss_C_to_M_ratio_assumed,three_component_feasible,q_main_three_component
2026-06-04,0.0,1.0,True,0.0019175798502312495
2026-06-11,0.0,1.0,False,
2026-06-18,0.0,1.0,True,
2026-06-25,0.0,1.0,True,0.001853531497447695
2026-07-02,0.0,1.0,True,0.001831476678231164
2026-07-09,0.0,1.0,True,0.0017905591062876377
2026-07-16,0.0,1.0,True,0.0018328859629109413
2026-07-23,0.0,1.0,True,0.002003438585509632
2026-07-30,0.0,1.0,True,0.0026598336382609145
2026-08-06,0.0,1.0,True,0.0022504050154983244
2026-08-13,0.0,1.0,True,0.0022412393608057524
2026-08-20,0.0,1.0,True,0.0022375760199897176
2025-08-21,0.0,2.0,False,
2025-08-28,0.0,2.0,True,0.0009334710902326899
2025-09-04,0.0,2.0,True,0.0009294051707973095
2025-09-11,0.0,2.0,False,
2025-09-18,0.0,2.0,False,
2025-09-25,0.0,2.0,False,
2025-10-02,0.0,2.0,True,0.0011428330515148787
2025-10-09,0.0,2.0,False,
2025-10-16,0.0,2.0,False,
2025-10-23,0.0,2.0,False,
2025-10-30,0.0,2.0,True,0.0012471257814891475
2025-11-06,0.0,2.0,False,
2025-11-13,0.0,2.0,False,
2025-11-20,0.0,2.0,False,
2025-11-27,0.0,2.0,False,
2025-12-04,0.0,2.0,True,0.0014520917184432716
2025-12-11,0.0,2.0,False,
2025-12-18,0.0,2.0,False,
2025-12-25,0.0,2.0,True,0.0011131253390172903
2026-01-01,0.0,2.0,True,0.0012823155351118598
2026-01-08,0.0,2.0,True,0.0012845438284159595
2026-01-15,0.0,2.0,True,0.0012913963193692199
2026-01-22,0.0,2.0,True,0.001420340483269311
2026-01-29,0.0,2.0,True,0.0015685540931333222
2026-02-05,0.0,2.0,True,0.0015884198965838063
2026-02-12,0.0,2.0,True,0.0015995170348356512
2026-02-19,0.0,2.0,True,0.0016696467825287264
2026-02-26,0.0,2.0,True,0.0018771040930359454
2026-03-05,0.0,2.0,True,0.0017730587040126757
2026-03-12,0.0,2.0,True,0.0018034537407946804
2026-03-19,0.0,2.0,True,0.0016668953237297126
2026-03-26,0.0,2.0,True,0.0014428994026079232
2026-04-02,0.0,2.0,True,0.0015708505649455937
2026-04-09,0.0,2.0,True,0.0015395138376345506
2026-04-16,0.0,2.0,True,
2026-04-23,0.0,2.0,True,0.0017250531827090669
2026-04-30,0.0,2.0,True,0.0019261180673385554
2026-05-07,0.0,2.0,True,0.00180744917565155
2026-05-14,0.0,2.0,False,
2026-05-21,0.0,2.0,False,
2026-05-28,0.0,2.0,True,0.001994984392142432
2026-06-04,0.0,2.0,True,0.0019175798502312495
2026-06-11,0.0,2.0,False,
2026-06-18,0.0,2.0,True,
2026-06-25,0.0,2.0,True,0.0017787107370886676
2026-07-02,0.0,2.0,True,0.0017471426518783958
2026-07-09,0.0,2.0,True,0.0016988944702834546
2026-07-16,0.0,2.0,True,0.0017367197145270327
2026-07-23,0.0,2.0,True,0.0018987973655715093
2026-07-30,0.0,2.0,True,0.0025684403323758807
2026-08-06,0.0,2.0,True,0.002155610978314243
2026-08-13,0.0,2.0,True,0.0021463009536564813
2026-08-20,0.0,2.0,True,0.0021438742651104866
2025-08-21,0.5,0.0,False,
2025-08-28,0.5,0.0,True,0.0013976914840598336
2025-09-04,0.5,0.0,True,0.001375894503112059
2025-09-11,0.5,0.0,False,
2025-09-18,0.5,0.0,False,
2025-09-25,0.5,0.0,False,
2025-10-02,0.5,0.0,True,0.0015296647522339175
2025-10-09,0.5,0.0,False,
2025-10-16,0.5,0.0,False,
2025-10-23,0.5,0.0,False,
2025-10-30,0.5,0.0,True,0.0015136657757646953
2025-11-06,0.5,0.0,False,
2025-11-13,0.5,0.0,False,
2025-11-20,0.5,0.0,False,
