date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index,P_total,residual_outside_weekly_boss,q_main_lower_fixed_boss,q_main_upper_fixed_boss,source_boss_rewards,source_coin_exchange,source_field,source_other,source_serazar_coin,extra_boss_scope_difference,nonboss_residual,three_component_feasible,detected_sources_sum,total_minus_detected_sources
2026-01-08,3,pre_leap,valid,296529.0,257052.0,294.47174150357444,32.39189156539338,326.86363306896783,0.0009930622013481,0.0001260129917891,0.1268933523178197,329147.1900000002,32618.19000000019,0.1251383619085618,0.1439780375897779,0.126893352317819,0.4880513550685346,False,0.0,140.13845258849082,17.78263803758544,563.0434258242125,236.17979275524465,0.00099306220134818,0.0017895434654243568,326.9240995045467,122.03157631275708,108.47251227800628,,,0.06046643557886,236.1193263196658,True,557.42818809531,5.615237728902457
2026-01-15,3,post_leap,valid,284602.0,234425.0,310.49004723331734,31.09717291082924,341.58722014414656,0.0010909622814784,0.0001326529717855,0.1215926288540368,313106.3520191076,28504.3520191076,0.11099450916644,0.1636337873680614,0.0,2.809642072548331,False,1.987607071101045e-16,153.95386688893797,18.719655397270436,477.0502009423504,135.46298079820383,0.0010909622814784061,0.0015669356787075324,351.02910223299256,13.559064034750785,105.45938693695057,,27.11812806950157,9.441882088846,126.02109870935783,True,497.1656812741955,-20.115480331845106
2026-01-22,3,post_leap,valid,274108.0,217437.0,322.58179703023785,27.839575359015942,350.4213723892538,0.0011768419638618,0.0001280351336663,0.1087955202126096,297764.1715284692,23656.1715284692,0.0979787364946516,0.1605018134516921,0.0,2.687136237647056,False,0.0,166.072992741946,18.06799763862496,507.75224786541116,157.33087547615736,0.0011768419638618277,0.0017508160013804603,360.0684782561597,33.14437875161303,109.97907494853416,,27.11812806950157,9.647105866905918,147.68376960925144,True,530.3100600258085,-22.55781216039736
2026-01-29,3,post_leap,valid,266223.0,193637.0,329.87713360644966,23.48895619783986,353.3660898042895,0.0012391008049884,0.0001213040699754,0.0978968534982075,285179.45302083244,18956.453020832418,0.0882974253951568,0.1457147452486416,0.0,2.7497120901480603,False,0.0,174.85880459099,17.11812677591585,517.2726025128876,163.9065127085981,0.0012391008049884857,0.001854774554847056,388.6931689961892,,106.9659496074784,,24.10500272844584,35.32707919189966,128.57943351669843,True,519.7641213321134,-2.491518819225803
2026-02-05,3,post_leap,valid,257958.0,179372.0,336.2409979413414,20.06980927798387,356.3108072193253,0.0013034718750391,0.000111889309803,0.0858394507358609,273355.1939573928,15397.19395739285,0.0756659827008351,0.1446335215413646,0.0,2.8060827940081454,False,1.6635605159535414e-16,183.9426888996612,15.78953938202427,505.8611297993827,149.5503225800574,0.0013034718750391202,0.0018832186655246155,375.1341049614384,,109.97907494853416,,22.598440057917976,18.82329774211314,130.72702483794427,True,507.71161996789056,-1.8504901685078607
2026-02-12,3,post_leap,valid,257515.0,168935.0,345.9232658877453,19.221693576687223,365.1449594644325,0.0013433130725889,0.0001137815939662,0.0847022159524975,271824.1688519352,14309.168851935166,0.0728717850851787,0.1462511355179476,0.0,2.771533968148049,False,0.0,189.56497899017785,16.056573787456696,504.57879631625235,139.43383685181988,0.001343313072588957,0.001884772159833661,375.1341049614384,27.11812806950157,109.97907494853416,,21.09187738739011,9.98914549700595,129.44469135481393,True,533.3231853668643,-28.74438905061197
2026-02-19,3,post_leap,valid,254819.0,154821.0,354.4917289582322,16.542665336271824,371.034394294504,0.0013911510874708,0.0001068502679628,0.0768070908509857,266710.35061264044,11891.350612640455,0.0635583914664496,0.1510193494895876,0.0,2.862424853610748,False,0.0,196.31575992953,15.078442408387712,514.0991509637288,143.06475666922478,0.0013911510874708409,0.0019525878589408835,382.6669183140777,15.06562670527865,106.9659496074784,,21.09187738739011,11.63252401957368,131.4322326496511,True,525.7903720142249,-11.691221050496097
2026-02-26,3,post_leap,valid,251789.0,148798.0,359.34017811684504,14.638933592694675,373.9791117095397,0.0014271480410853,9.838125238709308e-05,0.0689355620824538,262046.47376674492,10257.473766744964,0.053322818826083,0.1477358969895597,0.0,2.8802606303619385,False,0.0,201.3955599366109,13.883316125140787,553.9292061215394,179.95009441199971,0.0014271480410853732,0.0021418341251160486,430.87692377096937,24.10500272844584,100.93969892536695,,19.585314716862243,56.89781206142965,123.05228235057007,True,575.5069401416445,-21.577734020105027
2026-03-05,3,post_leap,valid,248384.0,139917.0,362.7250312940273,11.25408041551242,373.9791117095397,0.0014603397613937,8.043397453856514e-05,0.0550789457802603,256090.48085673669,7706.480856736685,0.0366316752475562,0.1485969635019416,0.0,2.9217226403272414,False,0.0,206.07949243998516,11.350641190525511,514.0991509637288,140.12003925418907,0.0014603397613937585,0.0020244664332171813,396.2259823488285,24.10500272844584,97.92657358431124,,18.07875204633438,22.246870639288773,117.8731686149003,True,536.3363107079199,-22.237159744191104
2026-03-12,3,post_leap,valid,244263.0,132277.0,367.4711391457794,15.34212480886753,382.81326395464697,0.001504407704588,0.0001159848258492,0.0770966709992097,254461.11634976245,10198.11634976246,0.0548109796047278,0.1775713857601358,0.0,3.052546503757653,False,0.0,212.29825029786653,16.367488356922486,520.4460540620464,137.63279010739944,0.001504407704588003,0.0020678691789308198,396.2259823488285,12.05250136422292,100.93969892536695,,18.07875204633438,13.412718394181525,124.22007171321792,True,527.2969346847527,-6.850880622706313
2026-03-19,3,post_leap,valid,279166.0,138000.0,391.36890938433,29.72568096578164,421.0945903501116,0.0014019218292497,0.0002154034852592,0.1536487133341559,300369.52244011353,21203.522440113524,0.1075003388045096,0.2786049757570125,0.0,3.2367072463768123,False,0.0,197.83570005420145,30.397200764890066,558.5274726519523,137.43288230184066,0.0014019218292497294,0.0018942198967143945,430.87692377096937,,106.9659496074784,,16.572189375806516,9.782333420857753,127.65054888098291,True,554.4150627542542,4.112409897698058
