date,low_share_2504,low_px_2504,high_px_2504,total_px_2504,low_share_2510,low_px_2510,high_px_2510,total_px_2510,difference_pp,pair,low_share_2609,low_px_2609,high_px_2609,total_px_2609
2024-11-28 00:00:00.000000000,,,,,0.36065573770491804,66.0,117.0,183.0,-1.43442622950819,2510_2609,0.37499999999999994,61.83906571575066,103.0651095262511,164.90417524200177
2024-12-05 00:00:00.000000000,,,,,0.37628865979381443,73.0,121.0,194.0,-1.3541848680761859,2510_2609,0.3898305084745763,67.72850054582216,106.00982694128685,173.73832748710902
2024-12-12 00:00:00.000000000,,,,,0.3793103448275862,77.0,126.0,203.0,-0.7786429365962244,2510_2609,0.38709677419354843,70.6732179608579,111.89926177135833,182.5724797322162
2024-12-19 00:00:00.000000000,,,,,0.4489795918367347,110.0,135.0,245.0,-1.0479867622724792,2510_2609,0.4594594594594595,100.12039211121537,117.78869660142983,217.9090887126452
2024-12-26 00:00:00.000000000,,,,,0.458955223880597,123.0,145.0,268.0,-1.604477611940297,2510_2609,0.475,111.89926177135835,123.67813143150133,235.5773932028597
2025-01-02 00:00:00.000000000,,,,,0.45454545454545453,125.0,150.0,275.0,-0.3285870755750375,2510_2609,0.4578313253012049,111.89926177135835,132.51228367660855,244.4115454479669
2025-01-09 00:00:00.000000000,,,,,0.4368231046931408,121.0,156.0,277.0,-0.8960027836979689,2510_2609,0.4457831325301205,108.9545443563226,135.45700109164432,244.41154544796692
2025-01-16 00:00:00.000000000,,,,,0.4142857142857143,116.0,164.0,280.0,-0.9243697478991619,2510_2609,0.42352941176470593,106.00982694128686,144.29115333675153,250.3009802780384
2025-01-23 00:00:00.000000000,,,,,0.3978494623655914,111.0,168.0,279.0,-0.691244239631339,2510_2609,0.40476190476190477,100.12039211121537,147.2358707517873,247.35626286300266
2025-01-30 00:00:00.000000000,,,,,0.38596491228070173,110.0,175.0,285.0,-0.9383924928600629,2510_2609,0.39534883720930236,100.12039211121537,153.12530558185878,253.24569769307413
2025-02-06 00:00:00.000000000,,,,,0.37894736842105264,108.0,177.0,285.0,-0.47735618115054557,2510_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-02-13 00:00:00.000000000,,,,,0.3706293706293706,106.0,180.0,286.0,-1.3091559603187475,2510_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-02-20 00:00:00.000000000,,,,,0.376271186440678,111.0,184.0,295.0,-0.5751285469434431,2510_2609,0.3820224719101124,100.12039211121537,161.959457826966,262.0798499381814
2025-02-27 00:00:00.000000000,,,,,0.3680555555555556,106.0,182.0,288.0,-1.566537467700252,2510_2609,0.3837209302325581,97.1756746961796,156.07002299689452,253.24569769307413
2025-03-06 00:00:00.000000000,,,,,0.35587188612099646,100.0,181.0,281.0,-1.3175732926622552,2510_2609,0.369047619047619,91.28623986610812,156.07002299689452,247.35626286300266
2025-03-13 00:00:00.000000000,,,,,0.35,98.0,182.0,280.0,-0.7142857142857173,2510_2609,0.35714285714285715,88.34152245107238,159.01474041193026,247.35626286300266
2025-03-20 00:00:00.000000000,,,,,0.34035087719298246,97.0,188.0,285.0,-1.2590299277605854,2510_2609,0.3529411764705883,88.34152245107238,161.959457826966,250.30098027803837
